INFO flower 2021-04-09 22:24:51,930 | server_ssp.py:137 | server receives ReadIns from client ipv4:10.244.22.48:54578
INFO flower 2021-04-09 22:24:51,937 | server_ssp.py:124 | server starts round 0 for client ipv4:10.244.51.49:48852
INFO flower 2021-04-09 22:24:51,944 | server_ssp.py:143 | server sends back ReadRes(clock=-1) to client ipv4:10.244.41.47:38956
INFO flower 2021-04-09 22:24:51,979 | server_ssp.py:124 | server starts round 0 for client ipv4:10.244.55.32:33414
INFO flower 2021-04-09 22:24:51,992 | server_ssp.py:124 | server starts round 0 for client ipv4:10.244.1.40:50766
INFO flower 2021-04-09 22:24:52,175 | server_ssp.py:127 | server send FitIns(clock=0) to client ipv4:10.244.1.40:50766
INFO flower 2021-04-09 22:24:52,027 | server_ssp.py:127 | server send FitIns(clock=0) to client ipv4:10.244.6.58:47936
INFO flower 2021-04-09 22:24:52,053 | server_ssp.py:127 | server send FitIns(clock=0) to client ipv4:10.244.48.49:57398
INFO flower 2021-04-09 22:24:52,056 | server_ssp.py:137 | server receives ReadIns from client ipv4:10.244.2.55:52516
INFO flower 2021-04-09 22:24:52,060 | server_ssp.py:137 | server receives ReadIns from client ipv4:10.244.7.56:48572
INFO flower 2021-04-09 22:24:52,087 | server_ssp.py:127 | server send FitIns(clock=0) to client ipv4:10.244.50.46:60082
INFO flower 2021-04-09 22:24:52,088 | server_ssp.py:127 | server send FitIns(clock=0) to client ipv4:10.244.26.45:39382
INFO flower 2021-04-09 22:24:52,102 | server_ssp.py:127 | server send FitIns(clock=0) to client ipv4:10.244.29.34:43540
INFO flower 2021-04-09 22:24:52,108 | server_ssp.py:127 | server send FitIns(clock=0) to client ipv4:10.244.44.49:50166
INFO flower 2021-04-09 22:24:51,907 | server_ssp.py:124 | server starts round 0 for client ipv4:10.244.58.46:49706
INFO flower 2021-04-09 22:24:52,134 | server_ssp.py:127 | server send FitIns(clock=0) to client ipv4:10.244.35.48:53158
INFO flower 2021-04-09 22:24:52,143 | server_ssp.py:143 | server sends back ReadRes(clock=-1) to client ipv4:10.244.43.33:52592
INFO flower 2021-04-09 22:24:52,158 | server_ssp.py:127 | server send FitIns(clock=0) to client ipv4:10.244.51.49:48852
INFO flower 2021-04-09 22:24:52,163 | server_ssp.py:137 | server receives ReadIns from client ipv4:10.244.53.49:54118
INFO flower 2021-04-09 22:24:52,165 | server_ssp.py:143 | server sends back ReadRes(clock=-1) to client ipv4:10.244.22.48:54578
INFO flower 2021-04-09 22:24:52,168 | server_ssp.py:137 | server receives ReadIns from client ipv4:10.244.25.48:51298
INFO flower 2021-04-09 22:24:52,174 | server_ssp.py:127 | server send FitIns(clock=0) to client ipv4:10.244.55.32:33414
INFO flower 2021-04-09 22:24:52,000 | server_ssp.py:137 | server receives ReadIns from client ipv4:10.244.40.33:46486
INFO flower 2021-04-09 22:24:52,302 | server_ssp.py:143 | server sends back ReadRes(clock=-1) to client ipv4:10.244.7.56:48572
INFO flower 2021-04-09 22:24:52,323 | server_ssp.py:137 | server receives ReadIns from client ipv4:10.244.18.33:36706
INFO flower 2021-04-09 22:24:52,335 | server_ssp.py:143 | server sends back ReadRes(clock=-1) to client ipv4:10.244.2.55:52516
INFO flower 2021-04-09 22:24:52,341 | server_ssp.py:137 | server receives ReadIns from client ipv4:10.244.31.32:35566
INFO flower 2021-04-09 22:24:52,351 | server_ssp.py:137 | server receives ReadIns from client ipv4:10.244.4.58:60942
INFO flower 2021-04-09 22:24:52,360 | server_ssp.py:137 | server receives ReadIns from client ipv4:10.244.59.31:42848
INFO flower 2021-04-09 22:24:52,420 | server_ssp.py:137 | server receives ReadIns from client ipv4:10.244.27.32:43474
INFO flower 2021-04-09 22:24:52,421 | server_ssp.py:127 | server send FitIns(clock=0) to client ipv4:10.244.58.46:49706
INFO flower 2021-04-09 22:24:52,440 | server_ssp.py:137 | server receives ReadIns from client ipv4:10.244.36.31:35742
INFO flower 2021-04-09 22:24:52,486 | server_ssp.py:137 | server receives ReadIns from client ipv4:10.244.37.33:43842
INFO flower 2021-04-09 22:24:52,517 | server_ssp.py:143 | server sends back ReadRes(clock=-1) to client ipv4:10.244.53.49:54118
INFO flower 2021-04-09 22:24:52,540 | server_ssp.py:143 | server sends back ReadRes(clock=-1) to client ipv4:10.244.25.48:51298
INFO flower 2021-04-09 22:24:52,608 | server_ssp.py:143 | server sends back ReadRes(clock=-1) to client ipv4:10.244.40.33:46486
INFO flower 2021-04-09 22:24:52,610 | server_ssp.py:143 | server sends back ReadRes(clock=-1) to client ipv4:10.244.18.33:36706
INFO flower 2021-04-09 22:24:52,634 | server_ssp.py:137 | server receives ReadIns from client ipv4:10.244.38.48:36198
INFO flower 2021-04-09 22:24:52,647 | server_ssp.py:137 | server receives ReadIns from client ipv4:10.244.30.46:37214
INFO flower 2021-04-09 22:24:52,673 | server_ssp.py:143 | server sends back ReadRes(clock=-1) to client ipv4:10.244.31.32:35566
INFO flower 2021-04-09 22:24:52,677 | server_ssp.py:137 | server receives ReadIns from client ipv4:10.244.48.49:57398
INFO flower 2021-04-09 22:24:52,719 | server_ssp.py:137 | server receives ReadIns from client ipv4:10.244.1.40:50766
INFO flower 2021-04-09 22:24:52,725 | server_ssp.py:143 | server sends back ReadRes(clock=-1) to client ipv4:10.244.4.58:60942
INFO flower 2021-04-09 22:24:52,729 | server_ssp.py:137 | server receives ReadIns from client ipv4:10.244.6.58:47936
INFO flower 2021-04-09 22:24:52,745 | server_ssp.py:143 | server sends back ReadRes(clock=-1) to client ipv4:10.244.59.31:42848
INFO flower 2021-04-09 22:24:52,754 | server_ssp.py:143 | server sends back ReadRes(clock=-1) to client ipv4:10.244.27.32:43474
INFO flower 2021-04-09 22:24:52,774 | server_ssp.py:143 | server sends back ReadRes(clock=-1) to client ipv4:10.244.36.31:35742
INFO flower 2021-04-09 22:24:52,801 | server_ssp.py:143 | server sends back ReadRes(clock=-1) to client ipv4:10.244.37.33:43842
INFO flower 2021-04-09 22:24:52,822 | server_ssp.py:137 | server receives ReadIns from client ipv4:10.244.50.46:60082
INFO flower 2021-04-09 22:24:52,841 | server_ssp.py:137 | server receives ReadIns from client ipv4:10.244.26.45:39382
INFO flower 2021-04-09 22:24:52,897 | server_ssp.py:137 | server receives ReadIns from client ipv4:10.244.5.56:56926
INFO flower 2021-04-09 22:24:52,922 | server_ssp.py:143 | server sends back ReadRes(clock=-1) to client ipv4:10.244.38.48:36198
INFO flower 2021-04-09 22:24:52,939 | server_ssp.py:143 | server sends back ReadRes(clock=-1) to client ipv4:10.244.30.46:37214
INFO flower 2021-04-09 22:24:52,982 | server_ssp.py:137 | server receives ReadIns from client ipv4:10.244.8.58:48814
INFO flower 2021-04-09 22:24:53,011 | server_ssp.py:143 | server sends back ReadRes(clock=-1) to client ipv4:10.244.48.49:57398
INFO flower 2021-04-09 22:24:53,026 | server_ssp.py:143 | server sends back ReadRes(clock=-1) to client ipv4:10.244.1.40:50766
INFO flower 2021-04-09 22:24:53,029 | server_ssp.py:137 | server receives ReadIns from client ipv4:10.244.44.49:50166
INFO flower 2021-04-09 22:24:53,045 | server_ssp.py:137 | server receives ReadIns from client ipv4:10.244.35.48:53158
INFO flower 2021-04-09 22:24:53,056 | server_ssp.py:143 | server sends back ReadRes(clock=-1) to client ipv4:10.244.6.58:47936
INFO flower 2021-04-09 22:24:53,057 | server_ssp.py:137 | server receives ReadIns from client ipv4:10.244.51.49:48852
INFO flower 2021-04-09 22:24:53,066 | server_ssp.py:137 | server receives ReadIns from client ipv4:10.244.29.34:43540
INFO flower 2021-04-09 22:24:53,114 | server_ssp.py:137 | server receives ReadIns from client ipv4:10.244.58.46:49706
INFO flower 2021-04-09 22:24:53,175 | server_ssp.py:143 | server sends back ReadRes(clock=-1) to client ipv4:10.244.50.46:60082
INFO flower 2021-04-09 22:24:53,185 | server_ssp.py:137 | server receives ReadIns from client ipv4:10.244.55.32:33414
INFO flower 2021-04-09 22:24:53,195 | server_ssp.py:143 | server sends back ReadRes(clock=-1) to client ipv4:10.244.5.56:56926
INFO flower 2021-04-09 22:24:53,204 | server_ssp.py:143 | server sends back ReadRes(clock=-1) to client ipv4:10.244.26.45:39382
INFO flower 2021-04-09 22:24:53,257 | server_ssp.py:143 | server sends back ReadRes(clock=-1) to client ipv4:10.244.8.58:48814
INFO flower 2021-04-09 22:24:53,302 | server_ssp.py:143 | server sends back ReadRes(clock=-1) to client ipv4:10.244.44.49:50166
INFO flower 2021-04-09 22:24:53,311 | server_ssp.py:143 | server sends back ReadRes(clock=-1) to client ipv4:10.244.35.48:53158
