DEBUG flower 2021-04-08 13:45:20,520 | connection.py:36 | ChannelConnectivity.IDLE
DEBUG flower 2021-04-08 13:45:20,522 | connection.py:36 | ChannelConnectivity.READY
INFO flower 2021-04-08 13:45:20,523 | app.py:63 | Opened (insecure) gRPC connection
DEBUG flower 2021-04-08 13:45:21,729 | numpy_client.py:172 | fit, FitIns(clock=0)
INFO flower 2021-04-08 13:45:21,730 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-08 13:45:21,952 | numpy_client.py:228 | read: ReadRes(clock=-1)
DEBUG flower 2021-04-08 13:45:21,967 | numpy_client.py:172 | fit, FitIns(clock=0)
DEBUG flower 2021-04-08 13:45:21,967 | numpy_client.py:260 | cached_clock: -1, curr_clock: 0
DEBUG flower 2021-04-08 13:45:22,502 | model_wrapper.py:21 | Load existing initial model
DEBUG flower 2021-04-08 13:45:22,502 | numpy_client.py:201 | Not a switch point
INFO flower 2021-04-08 13:45:22,506 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=0)
DEBUG flower 2021-04-08 13:45:22,530 | numpy_client.py:172 | fit, FitIns(clock=1)
DEBUG flower 2021-04-08 13:45:22,530 | numpy_client.py:260 | cached_clock: -1, curr_clock: 1
DEBUG flower 2021-04-08 13:45:23,024 | numpy_client.py:201 | Not a switch point
INFO flower 2021-04-08 13:45:23,028 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=1)
DEBUG flower 2021-04-08 13:45:23,044 | numpy_client.py:172 | fit, FitIns(clock=2)
DEBUG flower 2021-04-08 13:45:23,044 | numpy_client.py:260 | cached_clock: -1, curr_clock: 2
DEBUG flower 2021-04-08 13:45:23,535 | numpy_client.py:201 | Not a switch point
INFO flower 2021-04-08 13:45:23,538 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=2)
DEBUG flower 2021-04-08 13:45:23,561 | numpy_client.py:172 | fit, FitIns(clock=3)
DEBUG flower 2021-04-08 13:45:23,561 | numpy_client.py:260 | cached_clock: -1, curr_clock: 3
DEBUG flower 2021-04-08 13:45:24,037 | numpy_client.py:201 | Not a switch point
INFO flower 2021-04-08 13:45:24,103 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=3)
DEBUG flower 2021-04-08 13:45:24,124 | numpy_client.py:172 | fit, FitIns(clock=4)
DEBUG flower 2021-04-08 13:45:24,125 | numpy_client.py:260 | cached_clock: -1, curr_clock: 4
DEBUG flower 2021-04-08 13:45:24,612 | numpy_client.py:201 | Not a switch point
INFO flower 2021-04-08 13:45:24,616 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=4)
DEBUG flower 2021-04-08 13:45:24,638 | numpy_client.py:172 | fit, FitIns(clock=5)
DEBUG flower 2021-04-08 13:45:24,638 | numpy_client.py:260 | cached_clock: -1, curr_clock: 5
DEBUG flower 2021-04-08 13:45:25,115 | numpy_client.py:201 | Not a switch point
INFO flower 2021-04-08 13:45:25,119 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=5)
DEBUG flower 2021-04-08 13:45:25,135 | numpy_client.py:172 | fit, FitIns(clock=6)
DEBUG flower 2021-04-08 13:45:25,135 | numpy_client.py:260 | cached_clock: -1, curr_clock: 6
DEBUG flower 2021-04-08 13:45:25,634 | acc_variance.py:19 | AccuracyVariance: sample variance 0.07582796160819702 (last 7 data)
DEBUG flower 2021-04-08 13:45:25,634 | numpy_client.py:201 | Not a switch point
INFO flower 2021-04-08 13:45:25,637 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=6)
DEBUG flower 2021-04-08 13:45:25,669 | numpy_client.py:172 | fit, FitIns(clock=7)
DEBUG flower 2021-04-08 13:45:25,669 | numpy_client.py:260 | cached_clock: -1, curr_clock: 7
DEBUG flower 2021-04-08 13:45:26,204 | acc_variance.py:19 | AccuracyVariance: sample variance 1.232595164407831e-32 (last 7 data)
DEBUG flower 2021-04-08 13:45:26,204 | acc_variance.py:23 | AccuracyVariance: should switch
DEBUG flower 2021-04-08 13:45:26,204 | numpy_client.py:199 | Find switch point, staleness_bound -> 29
INFO flower 2021-04-08 13:45:26,208 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=7)
DEBUG flower 2021-04-08 13:45:26,225 | numpy_client.py:172 | fit, FitIns(clock=8)
DEBUG flower 2021-04-08 13:45:26,225 | numpy_client.py:260 | cached_clock: -1, curr_clock: 8
DEBUG flower 2021-04-08 13:45:26,715 | acc_variance.py:19 | AccuracyVariance: sample variance 1.232595164407831e-32 (last 7 data)
DEBUG flower 2021-04-08 13:45:26,715 | acc_variance.py:23 | AccuracyVariance: should switch
DEBUG flower 2021-04-08 13:45:26,715 | numpy_client.py:199 | Find switch point, staleness_bound -> 28
INFO flower 2021-04-08 13:45:26,718 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=8)
DEBUG flower 2021-04-08 13:45:26,740 | numpy_client.py:172 | fit, FitIns(clock=9)
DEBUG flower 2021-04-08 13:45:26,740 | numpy_client.py:260 | cached_clock: -1, curr_clock: 9
DEBUG flower 2021-04-08 13:45:27,237 | acc_variance.py:19 | AccuracyVariance: sample variance 1.232595164407831e-32 (last 7 data)
DEBUG flower 2021-04-08 13:45:27,237 | acc_variance.py:23 | AccuracyVariance: should switch
DEBUG flower 2021-04-08 13:45:27,301 | numpy_client.py:199 | Find switch point, staleness_bound -> 27
INFO flower 2021-04-08 13:45:27,304 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=9)
DEBUG flower 2021-04-08 13:45:35,856 | numpy_client.py:172 | fit, FitIns(clock=10)
DEBUG flower 2021-04-08 13:45:35,856 | numpy_client.py:260 | cached_clock: -1, curr_clock: 10
DEBUG flower 2021-04-08 13:45:36,402 | acc_variance.py:19 | AccuracyVariance: sample variance 1.232595164407831e-32 (last 7 data)
