DEBUG flower 2021-04-06 09:59:38,133 | numpy_client.py:167 | fit, FitIns(clock=12)
DEBUG flower 2021-04-06 09:59:38,133 | numpy_client.py:242 | cached_clock: 7, curr_clock: 12
INFO flower 2021-04-06 10:00:38,341 | numpy_client.py:192 | Cache is fresh, return FitRes(clock=12)
DEBUG flower 2021-04-06 10:00:39,524 | numpy_client.py:167 | fit, FitIns(clock=13)
DEBUG flower 2021-04-06 10:00:39,524 | numpy_client.py:242 | cached_clock: 7, curr_clock: 13
INFO flower 2021-04-06 10:00:39,525 | numpy_client.py:179 | Cache is stale, return ReadIns
DEBUG flower 2021-04-06 10:01:26,084 | numpy_client.py:215 | read: ReadRes(clock=8)
DEBUG flower 2021-04-06 10:01:26,126 | numpy_client.py:167 | fit, FitIns(clock=13)
DEBUG flower 2021-04-06 10:01:26,126 | numpy_client.py:242 | cached_clock: 8, curr_clock: 13
INFO flower 2021-04-06 10:02:26,753 | numpy_client.py:192 | Cache is fresh, return FitRes(clock=13)
DEBUG flower 2021-04-06 10:02:27,978 | numpy_client.py:167 | fit, FitIns(clock=14)
DEBUG flower 2021-04-06 10:02:27,979 | numpy_client.py:242 | cached_clock: 8, curr_clock: 14
INFO flower 2021-04-06 10:02:27,979 | numpy_client.py:179 | Cache is stale, return ReadIns
DEBUG flower 2021-04-06 10:03:19,969 | numpy_client.py:215 | read: ReadRes(clock=9)
DEBUG flower 2021-04-06 10:03:20,010 | numpy_client.py:167 | fit, FitIns(clock=14)
DEBUG flower 2021-04-06 10:03:20,010 | numpy_client.py:242 | cached_clock: 9, curr_clock: 14
INFO flower 2021-04-06 10:04:20,861 | numpy_client.py:192 | Cache is fresh, return FitRes(clock=14)
DEBUG flower 2021-04-06 10:04:22,154 | numpy_client.py:167 | fit, FitIns(clock=15)
DEBUG flower 2021-04-06 10:04:22,154 | numpy_client.py:242 | cached_clock: 9, curr_clock: 15
INFO flower 2021-04-06 10:04:22,154 | numpy_client.py:179 | Cache is stale, return ReadIns
DEBUG flower 2021-04-06 10:05:09,748 | numpy_client.py:215 | read: ReadRes(clock=10)
DEBUG flower 2021-04-06 10:05:09,789 | numpy_client.py:167 | fit, FitIns(clock=15)
DEBUG flower 2021-04-06 10:05:09,789 | numpy_client.py:242 | cached_clock: 10, curr_clock: 15
INFO flower 2021-04-06 10:06:11,244 | numpy_client.py:192 | Cache is fresh, return FitRes(clock=15)
DEBUG flower 2021-04-06 10:06:12,424 | numpy_client.py:167 | fit, FitIns(clock=16)
DEBUG flower 2021-04-06 10:06:12,424 | numpy_client.py:242 | cached_clock: 10, curr_clock: 16
INFO flower 2021-04-06 10:06:12,424 | numpy_client.py:179 | Cache is stale, return ReadIns
DEBUG flower 2021-04-06 10:07:02,808 | numpy_client.py:215 | read: ReadRes(clock=11)
DEBUG flower 2021-04-06 10:07:02,849 | numpy_client.py:167 | fit, FitIns(clock=16)
DEBUG flower 2021-04-06 10:07:02,849 | numpy_client.py:242 | cached_clock: 11, curr_clock: 16
INFO flower 2021-04-06 10:08:03,455 | numpy_client.py:192 | Cache is fresh, return FitRes(clock=16)
DEBUG flower 2021-04-06 10:08:04,662 | numpy_client.py:167 | fit, FitIns(clock=17)
DEBUG flower 2021-04-06 10:08:04,662 | numpy_client.py:242 | cached_clock: 11, curr_clock: 17
INFO flower 2021-04-06 10:08:04,662 | numpy_client.py:179 | Cache is stale, return ReadIns
DEBUG flower 2021-04-06 10:08:53,315 | numpy_client.py:215 | read: ReadRes(clock=12)
DEBUG flower 2021-04-06 10:08:53,356 | numpy_client.py:167 | fit, FitIns(clock=17)
DEBUG flower 2021-04-06 10:08:53,356 | numpy_client.py:242 | cached_clock: 12, curr_clock: 17
INFO flower 2021-04-06 10:09:54,355 | numpy_client.py:192 | Cache is fresh, return FitRes(clock=17)
DEBUG flower 2021-04-06 10:09:55,540 | numpy_client.py:167 | fit, FitIns(clock=18)
DEBUG flower 2021-04-06 10:09:55,540 | numpy_client.py:242 | cached_clock: 12, curr_clock: 18
INFO flower 2021-04-06 10:09:55,540 | numpy_client.py:179 | Cache is stale, return ReadIns
DEBUG flower 2021-04-06 10:10:46,193 | numpy_client.py:215 | read: ReadRes(clock=13)
DEBUG flower 2021-04-06 10:10:46,235 | numpy_client.py:167 | fit, FitIns(clock=18)
DEBUG flower 2021-04-06 10:10:46,235 | numpy_client.py:242 | cached_clock: 13, curr_clock: 18
INFO flower 2021-04-06 10:11:47,624 | numpy_client.py:192 | Cache is fresh, return FitRes(clock=18)
DEBUG flower 2021-04-06 10:11:48,826 | numpy_client.py:167 | fit, FitIns(clock=19)
DEBUG flower 2021-04-06 10:11:48,826 | numpy_client.py:242 | cached_clock: 13, curr_clock: 19
INFO flower 2021-04-06 10:11:48,827 | numpy_client.py:179 | Cache is stale, return ReadIns
DEBUG flower 2021-04-06 10:12:38,869 | numpy_client.py:215 | read: ReadRes(clock=14)
DEBUG flower 2021-04-06 10:12:38,911 | numpy_client.py:167 | fit, FitIns(clock=19)
DEBUG flower 2021-04-06 10:12:38,911 | numpy_client.py:242 | cached_clock: 14, curr_clock: 19
