DEBUG flower 2021-04-10 21:05:07,361 | client.py:85 | Start SSP client without delay
DEBUG flower 2021-04-10 21:05:10,529 | connection.py:36 | ChannelConnectivity.IDLE
DEBUG flower 2021-04-10 21:05:10,530 | connection.py:36 | ChannelConnectivity.CONNECTING
INFO flower 2021-04-10 21:05:10,531 | app.py:63 | Opened (insecure) gRPC connection
DEBUG flower 2021-04-10 21:05:10,531 | connection.py:36 | ChannelConnectivity.READY
DEBUG flower 2021-04-10 21:05:10,531 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 21:05:18,661 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 21:05:18,662 | numpy_client.py:172 | fit, FitIns(clock=0)
INFO flower 2021-04-10 21:05:18,662 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 21:05:18,662 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 21:05:18,845 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 21:05:18,846 | numpy_client.py:228 | read: ReadRes(clock=-1)
DEBUG flower 2021-04-10 21:05:18,862 | numpy_client.py:172 | fit, FitIns(clock=0)
DEBUG flower 2021-04-10 21:05:18,862 | numpy_client.py:260 | cached_clock: -1, curr_clock: 0
DEBUG flower 2021-04-10 21:05:24,102 | model_wrapper.py:21 | Load existing initial model
DEBUG flower 2021-04-10 21:05:24,102 | numpy_client.py:201 | Not a switch point
INFO flower 2021-04-10 21:05:24,106 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=0)
DEBUG flower 2021-04-10 21:05:24,106 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 21:05:24,127 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 21:05:24,128 | numpy_client.py:172 | fit, FitIns(clock=1)
DEBUG flower 2021-04-10 21:05:24,128 | numpy_client.py:260 | cached_clock: -1, curr_clock: 1
DEBUG flower 2021-04-10 21:05:29,198 | numpy_client.py:201 | Not a switch point
INFO flower 2021-04-10 21:05:29,204 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=1)
DEBUG flower 2021-04-10 21:05:29,205 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 21:05:29,227 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 21:05:29,227 | numpy_client.py:172 | fit, FitIns(clock=2)
DEBUG flower 2021-04-10 21:05:29,227 | numpy_client.py:260 | cached_clock: -1, curr_clock: 2
DEBUG flower 2021-04-10 21:05:33,806 | numpy_client.py:201 | Not a switch point
INFO flower 2021-04-10 21:05:33,810 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=2)
DEBUG flower 2021-04-10 21:05:33,811 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 21:05:33,831 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 21:05:33,831 | numpy_client.py:172 | fit, FitIns(clock=3)
DEBUG flower 2021-04-10 21:05:33,832 | numpy_client.py:260 | cached_clock: -1, curr_clock: 3
DEBUG flower 2021-04-10 21:05:38,604 | numpy_client.py:201 | Not a switch point
INFO flower 2021-04-10 21:05:38,608 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=3)
DEBUG flower 2021-04-10 21:05:38,608 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 21:05:38,708 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 21:05:38,709 | numpy_client.py:172 | fit, FitIns(clock=4)
DEBUG flower 2021-04-10 21:05:38,709 | numpy_client.py:260 | cached_clock: -1, curr_clock: 4
DEBUG flower 2021-04-10 21:05:42,803 | acc_variance.py:19 | AccuracyVariance: sample variance 0.013811128904137368 (last 5 data)
DEBUG flower 2021-04-10 21:05:42,803 | numpy_client.py:201 | Not a switch point
INFO flower 2021-04-10 21:05:42,807 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=4)
DEBUG flower 2021-04-10 21:05:42,807 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 21:05:42,830 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 21:05:42,830 | numpy_client.py:172 | fit, FitIns(clock=5)
DEBUG flower 2021-04-10 21:05:42,830 | numpy_client.py:260 | cached_clock: -1, curr_clock: 5
DEBUG flower 2021-04-10 21:05:47,392 | acc_variance.py:19 | AccuracyVariance: sample variance 0.014384063176041104 (last 5 data)
