DEBUG flower 2021-04-10 21:05:07,949 | client.py:85 | Start SSP client without delay
DEBUG flower 2021-04-10 21:05:10,552 | connection.py:36 | ChannelConnectivity.IDLE
INFO flower 2021-04-10 21:05:10,553 | app.py:63 | Opened (insecure) gRPC connection
DEBUG flower 2021-04-10 21:05:10,554 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 21:05:10,554 | connection.py:36 | ChannelConnectivity.READY
DEBUG flower 2021-04-10 21:05:18,873 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 21:05:18,873 | numpy_client.py:172 | fit, FitIns(clock=0)
INFO flower 2021-04-10 21:05:18,874 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 21:05:18,874 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 21:05:19,014 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 21:05:19,015 | numpy_client.py:228 | read: ReadRes(clock=-1)
DEBUG flower 2021-04-10 21:05:19,033 | numpy_client.py:172 | fit, FitIns(clock=0)
DEBUG flower 2021-04-10 21:05:19,033 | numpy_client.py:260 | cached_clock: -1, curr_clock: 0
DEBUG flower 2021-04-10 21:05:22,119 | model_wrapper.py:21 | Load existing initial model
DEBUG flower 2021-04-10 21:05:22,120 | numpy_client.py:201 | Not a switch point
INFO flower 2021-04-10 21:05:22,124 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=0)
DEBUG flower 2021-04-10 21:05:22,125 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 21:05:22,155 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 21:05:22,156 | numpy_client.py:172 | fit, FitIns(clock=1)
DEBUG flower 2021-04-10 21:05:22,156 | numpy_client.py:260 | cached_clock: -1, curr_clock: 1
DEBUG flower 2021-04-10 21:05:25,163 | numpy_client.py:201 | Not a switch point
INFO flower 2021-04-10 21:05:25,214 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=1)
DEBUG flower 2021-04-10 21:05:25,215 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 21:05:25,244 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 21:05:25,245 | numpy_client.py:172 | fit, FitIns(clock=2)
DEBUG flower 2021-04-10 21:05:25,245 | numpy_client.py:260 | cached_clock: -1, curr_clock: 2
DEBUG flower 2021-04-10 21:05:28,314 | numpy_client.py:201 | Not a switch point
INFO flower 2021-04-10 21:05:28,317 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=2)
DEBUG flower 2021-04-10 21:05:28,318 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 21:05:28,418 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 21:05:28,418 | numpy_client.py:172 | fit, FitIns(clock=3)
DEBUG flower 2021-04-10 21:05:28,418 | numpy_client.py:260 | cached_clock: -1, curr_clock: 3
DEBUG flower 2021-04-10 21:05:31,622 | numpy_client.py:201 | Not a switch point
INFO flower 2021-04-10 21:05:31,626 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=3)
DEBUG flower 2021-04-10 21:05:31,626 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 21:05:31,647 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 21:05:31,647 | numpy_client.py:172 | fit, FitIns(clock=4)
DEBUG flower 2021-04-10 21:05:31,647 | numpy_client.py:260 | cached_clock: -1, curr_clock: 4
DEBUG flower 2021-04-10 21:05:34,739 | acc_variance.py:19 | AccuracyVariance: sample variance 0.014371016519250782 (last 5 data)
DEBUG flower 2021-04-10 21:05:34,740 | numpy_client.py:201 | Not a switch point
INFO flower 2021-04-10 21:05:34,743 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=4)
DEBUG flower 2021-04-10 21:05:34,743 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 21:05:34,766 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 21:05:34,766 | numpy_client.py:172 | fit, FitIns(clock=5)
DEBUG flower 2021-04-10 21:05:34,767 | numpy_client.py:260 | cached_clock: -1, curr_clock: 5
DEBUG flower 2021-04-10 21:05:38,016 | acc_variance.py:19 | AccuracyVariance: sample variance 0.018144490602237252 (last 5 data)
DEBUG flower 2021-04-10 21:05:38,017 | numpy_client.py:201 | Not a switch point
INFO flower 2021-04-10 21:05:38,020 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=5)
DEBUG flower 2021-04-10 21:05:38,020 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 21:05:38,044 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 21:05:38,044 | numpy_client.py:172 | fit, FitIns(clock=6)
DEBUG flower 2021-04-10 21:05:38,045 | numpy_client.py:260 | cached_clock: -1, curr_clock: 6
DEBUG flower 2021-04-10 21:05:41,035 | acc_variance.py:19 | AccuracyVariance: sample variance 0.006141328206295526 (last 5 data)
DEBUG flower 2021-04-10 21:05:41,035 | numpy_client.py:201 | Not a switch point
INFO flower 2021-04-10 21:05:41,039 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=6)
DEBUG flower 2021-04-10 21:05:41,039 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 21:05:41,062 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 21:05:41,062 | numpy_client.py:172 | fit, FitIns(clock=7)
DEBUG flower 2021-04-10 21:05:41,062 | numpy_client.py:260 | cached_clock: -1, curr_clock: 7
DEBUG flower 2021-04-10 21:05:44,221 | acc_variance.py:19 | AccuracyVariance: sample variance 0.003740142917533819 (last 5 data)
DEBUG flower 2021-04-10 21:05:44,222 | numpy_client.py:201 | Not a switch point
INFO flower 2021-04-10 21:05:44,226 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=7)
DEBUG flower 2021-04-10 21:05:44,227 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 21:05:44,249 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 21:05:44,249 | numpy_client.py:172 | fit, FitIns(clock=8)
DEBUG flower 2021-04-10 21:05:44,249 | numpy_client.py:260 | cached_clock: -1, curr_clock: 8
DEBUG flower 2021-04-10 21:05:47,338 | acc_variance.py:19 | AccuracyVariance: sample variance 0.004675407290582726 (last 5 data)
DEBUG flower 2021-04-10 21:05:47,338 | numpy_client.py:201 | Not a switch point
INFO flower 2021-04-10 21:05:47,342 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=8)
DEBUG flower 2021-04-10 21:05:47,342 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 21:05:47,364 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 21:05:47,364 | numpy_client.py:172 | fit, FitIns(clock=9)
DEBUG flower 2021-04-10 21:05:47,364 | numpy_client.py:260 | cached_clock: -1, curr_clock: 9
DEBUG flower 2021-04-10 21:05:50,627 | acc_variance.py:19 | AccuracyVariance: sample variance 0.003200543867065556 (last 5 data)
DEBUG flower 2021-04-10 21:05:50,627 | numpy_client.py:201 | Not a switch point
INFO flower 2021-04-10 21:05:50,631 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=9)
DEBUG flower 2021-04-10 21:05:50,631 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 21:05:50,653 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 21:05:50,654 | numpy_client.py:172 | fit, FitIns(clock=10)
DEBUG flower 2021-04-10 21:05:50,654 | numpy_client.py:260 | cached_clock: -1, curr_clock: 10
DEBUG flower 2021-04-10 21:05:53,636 | acc_variance.py:19 | AccuracyVariance: sample variance 0.0011406778420915708 (last 5 data)
DEBUG flower 2021-04-10 21:05:53,637 | numpy_client.py:201 | Not a switch point
INFO flower 2021-04-10 21:05:53,640 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=10)
DEBUG flower 2021-04-10 21:05:53,640 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 21:05:53,663 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 21:05:53,664 | numpy_client.py:172 | fit, FitIns(clock=11)
DEBUG flower 2021-04-10 21:05:53,664 | numpy_client.py:260 | cached_clock: -1, curr_clock: 11
