DEBUG flower 2021-04-10 14:49:25,045 | client.py:85 | Start SSP client without delay
DEBUG flower 2021-04-10 14:49:31,027 | connection.py:36 | ChannelConnectivity.IDLE
DEBUG flower 2021-04-10 14:49:31,029 | connection.py:36 | ChannelConnectivity.CONNECTING
INFO flower 2021-04-10 14:49:31,029 | app.py:63 | Opened (insecure) gRPC connection
DEBUG flower 2021-04-10 14:49:31,030 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 14:49:31,030 | connection.py:36 | ChannelConnectivity.READY
DEBUG flower 2021-04-10 14:49:42,110 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 14:49:42,111 | numpy_client.py:172 | fit, FitIns(clock=0)
INFO flower 2021-04-10 14:49:42,111 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 14:49:42,111 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 14:49:42,195 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 14:49:42,196 | numpy_client.py:228 | read: ReadRes(clock=-1)
DEBUG flower 2021-04-10 14:49:42,213 | numpy_client.py:172 | fit, FitIns(clock=0)
DEBUG flower 2021-04-10 14:49:42,213 | numpy_client.py:260 | cached_clock: -1, curr_clock: 0
INFO flower 2021-04-10 14:49:43,226 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=0)
DEBUG flower 2021-04-10 14:49:43,226 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 14:49:43,248 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 14:49:43,248 | numpy_client.py:172 | fit, FitIns(clock=1)
DEBUG flower 2021-04-10 14:49:43,248 | numpy_client.py:260 | cached_clock: -1, curr_clock: 1
INFO flower 2021-04-10 14:49:43,248 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 14:49:43,249 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 14:51:01,607 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 14:51:01,608 | numpy_client.py:228 | read: ReadRes(clock=0)
DEBUG flower 2021-04-10 14:51:01,615 | numpy_client.py:172 | fit, FitIns(clock=1)
DEBUG flower 2021-04-10 14:51:01,615 | numpy_client.py:260 | cached_clock: 0, curr_clock: 1
INFO flower 2021-04-10 14:51:02,608 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=1)
DEBUG flower 2021-04-10 14:51:02,609 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 14:51:02,628 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 14:51:02,628 | numpy_client.py:172 | fit, FitIns(clock=2)
DEBUG flower 2021-04-10 14:51:02,628 | numpy_client.py:260 | cached_clock: 0, curr_clock: 2
INFO flower 2021-04-10 14:51:02,628 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 14:51:02,629 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 14:52:33,705 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 14:52:33,706 | numpy_client.py:228 | read: ReadRes(clock=1)
DEBUG flower 2021-04-10 14:52:33,713 | numpy_client.py:172 | fit, FitIns(clock=2)
DEBUG flower 2021-04-10 14:52:33,713 | numpy_client.py:260 | cached_clock: 1, curr_clock: 2
INFO flower 2021-04-10 14:52:34,646 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=2)
DEBUG flower 2021-04-10 14:52:34,646 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 14:52:34,704 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 14:52:34,704 | numpy_client.py:172 | fit, FitIns(clock=3)
DEBUG flower 2021-04-10 14:52:34,705 | numpy_client.py:260 | cached_clock: 1, curr_clock: 3
INFO flower 2021-04-10 14:52:34,705 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 14:52:34,705 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 14:53:48,005 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 14:53:48,005 | numpy_client.py:228 | read: ReadRes(clock=2)
DEBUG flower 2021-04-10 14:53:48,012 | numpy_client.py:172 | fit, FitIns(clock=3)
DEBUG flower 2021-04-10 14:53:48,012 | numpy_client.py:260 | cached_clock: 2, curr_clock: 3
INFO flower 2021-04-10 14:53:49,009 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=3)
DEBUG flower 2021-04-10 14:53:49,009 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 14:53:49,031 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 14:53:49,031 | numpy_client.py:172 | fit, FitIns(clock=4)
DEBUG flower 2021-04-10 14:53:49,032 | numpy_client.py:260 | cached_clock: 2, curr_clock: 4
INFO flower 2021-04-10 14:53:49,032 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 14:53:49,032 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 14:54:43,257 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 14:54:43,257 | numpy_client.py:228 | read: ReadRes(clock=3)
DEBUG flower 2021-04-10 14:54:43,264 | numpy_client.py:172 | fit, FitIns(clock=4)
DEBUG flower 2021-04-10 14:54:43,264 | numpy_client.py:260 | cached_clock: 3, curr_clock: 4
INFO flower 2021-04-10 14:54:44,221 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=4)
DEBUG flower 2021-04-10 14:54:44,222 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 14:54:44,252 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 14:54:44,252 | numpy_client.py:172 | fit, FitIns(clock=5)
DEBUG flower 2021-04-10 14:54:44,252 | numpy_client.py:260 | cached_clock: 3, curr_clock: 5
INFO flower 2021-04-10 14:54:44,252 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 14:54:44,253 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 14:55:41,406 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 14:55:41,407 | numpy_client.py:228 | read: ReadRes(clock=4)
DEBUG flower 2021-04-10 14:55:41,415 | numpy_client.py:172 | fit, FitIns(clock=5)
DEBUG flower 2021-04-10 14:55:41,415 | numpy_client.py:260 | cached_clock: 4, curr_clock: 5
INFO flower 2021-04-10 14:55:42,412 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=5)
DEBUG flower 2021-04-10 14:55:42,413 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 14:55:42,434 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 14:55:42,435 | numpy_client.py:172 | fit, FitIns(clock=6)
DEBUG flower 2021-04-10 14:55:42,435 | numpy_client.py:260 | cached_clock: 4, curr_clock: 6
INFO flower 2021-04-10 14:55:42,435 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 14:55:42,435 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 14:56:39,255 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 14:56:39,256 | numpy_client.py:228 | read: ReadRes(clock=5)
DEBUG flower 2021-04-10 14:56:39,263 | numpy_client.py:172 | fit, FitIns(clock=6)
DEBUG flower 2021-04-10 14:56:39,263 | numpy_client.py:260 | cached_clock: 5, curr_clock: 6
INFO flower 2021-04-10 14:56:40,240 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=6)
DEBUG flower 2021-04-10 14:56:40,241 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 14:56:40,261 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 14:56:40,261 | numpy_client.py:172 | fit, FitIns(clock=7)
DEBUG flower 2021-04-10 14:56:40,261 | numpy_client.py:260 | cached_clock: 5, curr_clock: 7
INFO flower 2021-04-10 14:56:40,261 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 14:56:40,262 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 14:58:09,554 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 14:58:09,554 | numpy_client.py:228 | read: ReadRes(clock=6)
DEBUG flower 2021-04-10 14:58:09,562 | numpy_client.py:172 | fit, FitIns(clock=7)
DEBUG flower 2021-04-10 14:58:09,562 | numpy_client.py:260 | cached_clock: 6, curr_clock: 7
INFO flower 2021-04-10 14:58:10,522 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=7)
DEBUG flower 2021-04-10 14:58:10,522 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 14:58:10,542 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 14:58:10,542 | numpy_client.py:172 | fit, FitIns(clock=8)
DEBUG flower 2021-04-10 14:58:10,542 | numpy_client.py:260 | cached_clock: 6, curr_clock: 8
INFO flower 2021-04-10 14:58:10,543 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 14:58:10,543 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 14:59:39,506 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 14:59:39,507 | numpy_client.py:228 | read: ReadRes(clock=7)
DEBUG flower 2021-04-10 14:59:39,514 | numpy_client.py:172 | fit, FitIns(clock=8)
DEBUG flower 2021-04-10 14:59:39,514 | numpy_client.py:260 | cached_clock: 7, curr_clock: 8
INFO flower 2021-04-10 14:59:40,442 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=8)
DEBUG flower 2021-04-10 14:59:40,442 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 14:59:40,464 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 14:59:40,464 | numpy_client.py:172 | fit, FitIns(clock=9)
DEBUG flower 2021-04-10 14:59:40,464 | numpy_client.py:260 | cached_clock: 7, curr_clock: 9
INFO flower 2021-04-10 14:59:40,464 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 14:59:40,465 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 15:00:35,505 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 15:00:35,505 | numpy_client.py:228 | read: ReadRes(clock=8)
DEBUG flower 2021-04-10 15:00:35,512 | numpy_client.py:172 | fit, FitIns(clock=9)
DEBUG flower 2021-04-10 15:00:35,512 | numpy_client.py:260 | cached_clock: 8, curr_clock: 9
INFO flower 2021-04-10 15:00:36,507 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=9)
DEBUG flower 2021-04-10 15:00:36,507 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 15:00:36,530 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 15:00:36,531 | numpy_client.py:172 | fit, FitIns(clock=10)
DEBUG flower 2021-04-10 15:00:36,531 | numpy_client.py:260 | cached_clock: 8, curr_clock: 10
INFO flower 2021-04-10 15:00:36,531 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 15:00:36,532 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 15:01:40,389 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 15:01:40,391 | numpy_client.py:228 | read: ReadRes(clock=9)
DEBUG flower 2021-04-10 15:01:40,399 | numpy_client.py:172 | fit, FitIns(clock=10)
DEBUG flower 2021-04-10 15:01:40,399 | numpy_client.py:260 | cached_clock: 9, curr_clock: 10
INFO flower 2021-04-10 15:01:41,334 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=10)
DEBUG flower 2021-04-10 15:01:41,335 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 15:01:41,355 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 15:01:41,356 | numpy_client.py:172 | fit, FitIns(clock=11)
DEBUG flower 2021-04-10 15:01:41,356 | numpy_client.py:260 | cached_clock: 9, curr_clock: 11
INFO flower 2021-04-10 15:01:41,356 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 15:01:41,356 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 15:02:56,367 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 15:02:56,368 | numpy_client.py:228 | read: ReadRes(clock=10)
