INFO flower 2021-04-11 21:25:38,504 | server_ssp.py:129 | server receives ReadIns from client ipv4:10.244.5.63:54706
INFO flower 2021-04-11 21:25:38,504 | server_ssp.py:231 | WAIT in get_fresh_weights: global_clock=-1, min_clock=0
INFO flower 2021-04-11 21:25:52,960 | server_ssp.py:140 | server receives FitRes(clock=0) from client ipv4:10.244.49.34:37540
INFO flower 2021-04-11 21:25:53,049 | server_ssp.py:116 | server starts round 1 for client ipv4:10.244.49.34:37540
INFO flower 2021-04-11 21:25:53,049 | server_ssp.py:119 | server send FitIns(clock=1) to client ipv4:10.244.49.34:37540
INFO flower 2021-04-11 21:25:53,679 | server_ssp.py:140 | server receives FitRes(clock=3) from client ipv4:10.244.36.35:45822
DEBUG flower 2021-04-11 21:25:53,776 | server_ssp.py:162 | time to evaluate. Evaluation interval
INFO flower 2021-04-11 21:25:58,321 | server_ssp.py:140 | server receives FitRes(clock=0) from client ipv4:10.244.34.35:43706
INFO flower 2021-04-11 21:25:58,621 | server_ssp.py:116 | server starts round 1 for client ipv4:10.244.34.35:43706
INFO flower 2021-04-11 21:25:58,621 | server_ssp.py:119 | server send FitIns(clock=1) to client ipv4:10.244.34.35:43706
INFO flower 2021-04-11 21:26:09,930 | server_ssp.py:191 | fit progress1: (0, 229.26969480514526, 0.093, 108.70583887957036)
INFO flower 2021-04-11 21:26:09,930 | server_ssp.py:116 | server starts round 4 for client ipv4:10.244.36.35:45822
INFO flower 2021-04-11 21:26:09,930 | server_ssp.py:119 | server send FitIns(clock=4) to client ipv4:10.244.36.35:45822
INFO flower 2021-04-11 21:26:25,162 | server_ssp.py:140 | server receives FitRes(clock=4) from client ipv4:10.244.36.35:45822
INFO flower 2021-04-11 21:26:25,249 | server_ssp.py:116 | server starts round 5 for client ipv4:10.244.36.35:45822
INFO flower 2021-04-11 21:26:25,249 | server_ssp.py:119 | server send FitIns(clock=5) to client ipv4:10.244.36.35:45822
INFO flower 2021-04-11 21:26:40,639 | server_ssp.py:140 | server receives FitRes(clock=5) from client ipv4:10.244.36.35:45822
INFO flower 2021-04-11 21:26:40,712 | server_ssp.py:116 | server starts round 6 for client ipv4:10.244.36.35:45822
INFO flower 2021-04-11 21:26:40,713 | server_ssp.py:119 | server send FitIns(clock=6) to client ipv4:10.244.36.35:45822
INFO flower 2021-04-11 21:26:55,017 | server_ssp.py:140 | server receives FitRes(clock=6) from client ipv4:10.244.36.35:45822
DEBUG flower 2021-04-11 21:26:55,090 | server_ssp.py:162 | time to evaluate. Evaluation interval
INFO flower 2021-04-11 21:27:10,632 | server_ssp.py:191 | fit progress1: (0, 235.12182426452637, 0.093, 169.4079335797578)
INFO flower 2021-04-11 21:27:10,633 | server_ssp.py:116 | server starts round 7 for client ipv4:10.244.36.35:45822
INFO flower 2021-04-11 21:27:10,633 | server_ssp.py:119 | server send FitIns(clock=7) to client ipv4:10.244.36.35:45822
INFO flower 2021-04-11 21:27:18,267 | server_ssp.py:140 | server receives FitRes(clock=1) from client ipv4:10.244.49.34:37540
INFO flower 2021-04-11 21:27:18,355 | server_ssp.py:116 | server starts round 2 for client ipv4:10.244.49.34:37540
INFO flower 2021-04-11 21:27:18,355 | server_ssp.py:119 | server send FitIns(clock=2) to client ipv4:10.244.49.34:37540
INFO flower 2021-04-11 21:27:22,767 | server_ssp.py:140 | server receives FitRes(clock=1) from client ipv4:10.244.34.35:43706
INFO flower 2021-04-11 21:27:22,854 | server_ssp.py:116 | server starts round 2 for client ipv4:10.244.34.35:43706
INFO flower 2021-04-11 21:27:22,854 | server_ssp.py:119 | server send FitIns(clock=2) to client ipv4:10.244.34.35:43706
INFO flower 2021-04-11 21:27:24,009 | server_ssp.py:129 | server receives ReadIns from client ipv4:10.244.34.35:43706
INFO flower 2021-04-11 21:27:24,009 | server_ssp.py:231 | WAIT in get_fresh_weights: global_clock=-1, min_clock=0
INFO flower 2021-04-11 21:27:25,324 | server_ssp.py:140 | server receives FitRes(clock=7) from client ipv4:10.244.36.35:45822
INFO flower 2021-04-11 21:27:25,410 | server_ssp.py:116 | server starts round 8 for client ipv4:10.244.36.35:45822
INFO flower 2021-04-11 21:27:25,410 | server_ssp.py:119 | server send FitIns(clock=8) to client ipv4:10.244.36.35:45822
INFO flower 2021-04-11 21:27:40,735 | server_ssp.py:140 | server receives FitRes(clock=8) from client ipv4:10.244.36.35:45822
INFO flower 2021-04-11 21:27:40,808 | server_ssp.py:116 | server starts round 9 for client ipv4:10.244.36.35:45822
INFO flower 2021-04-11 21:27:40,809 | server_ssp.py:119 | server send FitIns(clock=9) to client ipv4:10.244.36.35:45822
INFO flower 2021-04-11 21:27:55,444 | server_ssp.py:140 | server receives FitRes(clock=9) from client ipv4:10.244.36.35:45822
DEBUG flower 2021-04-11 21:27:55,516 | server_ssp.py:162 | time to evaluate. Evaluation interval
INFO flower 2021-04-11 21:28:01,237 | server_ssp.py:140 | server receives FitRes(clock=0) from client ipv4:10.244.55.36:50508
INFO flower 2021-04-11 21:28:01,527 | server_ssp.py:116 | server starts round 1 for client ipv4:10.244.55.36:50508
INFO flower 2021-04-11 21:28:01,527 | server_ssp.py:119 | server send FitIns(clock=1) to client ipv4:10.244.55.36:50508
INFO flower 2021-04-11 21:28:04,550 | server_ssp.py:129 | server receives ReadIns from client ipv4:10.244.55.36:50508
INFO flower 2021-04-11 21:28:04,550 | server_ssp.py:231 | WAIT in get_fresh_weights: global_clock=-1, min_clock=0
INFO flower 2021-04-11 21:28:06,254 | server_ssp.py:140 | server receives FitRes(clock=0) from client ipv4:10.244.55.36:50524
DEBUG flower 2021-04-11 21:28:06,255 | server_ssp.py:152 | time to evaluate. Clock updated
INFO flower 2021-04-11 21:28:06,255 | server_ssp.py:153 | server updates clock. client_clocks: {'ipv4:10.244.36.35:45814': 0, 'ipv4:10.244.36.35:45822': 9, 'ipv4:10.244.49.34:37540': 1, 'ipv4:10.244.34.35:43706': 1, 'ipv4:10.244.5.63:54706': 0, 'ipv4:10.244.55.36:50524': 0, 'ipv4:10.244.55.36:50508': 0}, global_clock: 0
INFO flower 2021-04-11 21:28:06,490 | server_ssp.py:135 | server sends back ReadRes(clock=0) to client ipv4:10.244.36.35:45814
INFO flower 2021-04-11 21:28:06,645 | server_ssp.py:135 | server sends back ReadRes(clock=0) to client ipv4:10.244.34.35:43706
INFO flower 2021-04-11 21:28:06,776 | server_ssp.py:135 | server sends back ReadRes(clock=0) to client ipv4:10.244.55.36:50508
INFO flower 2021-04-11 21:28:07,019 | server_ssp.py:135 | server sends back ReadRes(clock=0) to client ipv4:10.244.5.63:54706
INFO flower 2021-04-11 21:28:16,542 | server_ssp.py:191 | fit progress1: (1, 187.6429204940796, 0.103, 235.31780509091914)
INFO flower 2021-04-11 21:28:16,542 | server_ssp.py:116 | server starts round 10 for client ipv4:10.244.36.35:45822
INFO flower 2021-04-11 21:28:16,542 | server_ssp.py:119 | server send FitIns(clock=10) to client ipv4:10.244.36.35:45822
INFO flower 2021-04-11 21:28:27,338 | server_ssp.py:191 | fit progress1: (1, 77.50149416923523, 0.089, 245.8940709233284)
INFO flower 2021-04-11 21:28:27,339 | server_ssp.py:116 | server starts round 1 for client ipv4:10.244.55.36:50524
INFO flower 2021-04-11 21:28:27,339 | server_ssp.py:119 | server send FitIns(clock=1) to client ipv4:10.244.55.36:50524
INFO flower 2021-04-11 21:28:31,296 | server_ssp.py:140 | server receives FitRes(clock=1) from client ipv4:10.244.36.35:45814
INFO flower 2021-04-11 21:28:31,387 | server_ssp.py:116 | server starts round 2 for client ipv4:10.244.36.35:45814
INFO flower 2021-04-11 21:28:31,387 | server_ssp.py:119 | server send FitIns(clock=2) to client ipv4:10.244.36.35:45814
INFO flower 2021-04-11 21:28:34,294 | server_ssp.py:129 | server receives ReadIns from client ipv4:10.244.36.35:45814
INFO flower 2021-04-11 21:28:34,295 | server_ssp.py:231 | WAIT in get_fresh_weights: global_clock=0, min_clock=1
INFO flower 2021-04-11 21:28:42,008 | server_ssp.py:140 | server receives FitRes(clock=10) from client ipv4:10.244.36.35:45822
INFO flower 2021-04-11 21:28:42,093 | server_ssp.py:116 | server starts round 11 for client ipv4:10.244.36.35:45822
INFO flower 2021-04-11 21:28:42,094 | server_ssp.py:119 | server send FitIns(clock=11) to client ipv4:10.244.36.35:45822
INFO flower 2021-04-11 21:28:44,455 | server_ssp.py:140 | server receives FitRes(clock=2) from client ipv4:10.244.49.34:37540
INFO flower 2021-04-11 21:28:44,543 | server_ssp.py:116 | server starts round 3 for client ipv4:10.244.49.34:37540
INFO flower 2021-04-11 21:28:44,543 | server_ssp.py:119 | server send FitIns(clock=3) to client ipv4:10.244.49.34:37540
INFO flower 2021-04-11 21:28:56,946 | server_ssp.py:140 | server receives FitRes(clock=11) from client ipv4:10.244.36.35:45822
INFO flower 2021-04-11 21:28:57,021 | server_ssp.py:116 | server starts round 12 for client ipv4:10.244.36.35:45822
INFO flower 2021-04-11 21:28:57,022 | server_ssp.py:119 | server send FitIns(clock=12) to client ipv4:10.244.36.35:45822
INFO flower 2021-04-11 21:29:07,402 | server_ssp.py:140 | server receives FitRes(clock=1) from client ipv4:10.244.5.63:54706
DEBUG flower 2021-04-11 21:29:07,490 | server_ssp.py:162 | time to evaluate. Evaluation interval
INFO flower 2021-04-11 21:29:12,222 | server_ssp.py:140 | server receives FitRes(clock=12) from client ipv4:10.244.36.35:45822
INFO flower 2021-04-11 21:29:12,431 | server_ssp.py:116 | server starts round 13 for client ipv4:10.244.36.35:45822
INFO flower 2021-04-11 21:29:12,431 | server_ssp.py:119 | server send FitIns(clock=13) to client ipv4:10.244.36.35:45822
INFO flower 2021-04-11 21:29:23,712 | server_ssp.py:191 | fit progress1: (1, 357.21796131134033, 0.195, 302.312173794955)
INFO flower 2021-04-11 21:29:23,712 | server_ssp.py:116 | server starts round 2 for client ipv4:10.244.5.63:54706
INFO flower 2021-04-11 21:29:23,712 | server_ssp.py:119 | server send FitIns(clock=2) to client ipv4:10.244.5.63:54706
INFO flower 2021-04-11 21:29:24,844 | server_ssp.py:129 | server receives ReadIns from client ipv4:10.244.5.63:54706
INFO flower 2021-04-11 21:29:24,845 | server_ssp.py:231 | WAIT in get_fresh_weights: global_clock=0, min_clock=1
INFO flower 2021-04-11 21:29:27,424 | server_ssp.py:140 | server receives FitRes(clock=13) from client ipv4:10.244.36.35:45822
INFO flower 2021-04-11 21:29:27,510 | server_ssp.py:116 | server starts round 14 for client ipv4:10.244.36.35:45822
INFO flower 2021-04-11 21:29:27,511 | server_ssp.py:119 | server send FitIns(clock=14) to client ipv4:10.244.36.35:45822
INFO flower 2021-04-11 21:29:33,925 | server_ssp.py:140 | server receives FitRes(clock=2) from client ipv4:10.244.34.35:43706
INFO flower 2021-04-11 21:29:34,012 | server_ssp.py:116 | server starts round 3 for client ipv4:10.244.34.35:43706
INFO flower 2021-04-11 21:29:34,012 | server_ssp.py:119 | server send FitIns(clock=3) to client ipv4:10.244.34.35:43706
INFO flower 2021-04-11 21:29:35,121 | server_ssp.py:129 | server receives ReadIns from client ipv4:10.244.34.35:43706
INFO flower 2021-04-11 21:29:35,122 | server_ssp.py:231 | WAIT in get_fresh_weights: global_clock=0, min_clock=1
