DEBUG flower 2021-04-08 12:34:14,390 | connection.py:36 | ChannelConnectivity.IDLE
INFO flower 2021-04-08 12:34:14,392 | app.py:63 | Opened (insecure) gRPC connection
DEBUG flower 2021-04-08 12:34:14,393 | connection.py:36 | ChannelConnectivity.READY
DEBUG flower 2021-04-08 12:34:15,653 | numpy_client.py:172 | fit, FitIns(clock=0)
INFO flower 2021-04-08 12:34:15,653 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-08 12:34:15,855 | numpy_client.py:228 | read: ReadRes(clock=-1)
DEBUG flower 2021-04-08 12:34:15,871 | numpy_client.py:172 | fit, FitIns(clock=0)
DEBUG flower 2021-04-08 12:34:15,871 | numpy_client.py:260 | cached_clock: -1, curr_clock: 0
DEBUG flower 2021-04-08 12:34:18,991 | model_wrapper.py:21 | Load existing initial model
INFO flower 2021-04-08 12:34:18,996 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=0)
DEBUG flower 2021-04-08 12:34:19,019 | numpy_client.py:172 | fit, FitIns(clock=1)
DEBUG flower 2021-04-08 12:34:19,019 | numpy_client.py:260 | cached_clock: -1, curr_clock: 1
INFO flower 2021-04-08 12:34:22,177 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=1)
DEBUG flower 2021-04-08 12:34:29,576 | numpy_client.py:172 | fit, FitIns(clock=2)
DEBUG flower 2021-04-08 12:34:29,576 | numpy_client.py:260 | cached_clock: -1, curr_clock: 2
INFO flower 2021-04-08 12:34:32,778 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=2)
DEBUG flower 2021-04-08 12:34:32,801 | numpy_client.py:172 | fit, FitIns(clock=3)
DEBUG flower 2021-04-08 12:34:32,801 | numpy_client.py:260 | cached_clock: -1, curr_clock: 3
INFO flower 2021-04-08 12:34:35,905 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=3)
DEBUG flower 2021-04-08 12:34:44,311 | numpy_client.py:172 | fit, FitIns(clock=4)
DEBUG flower 2021-04-08 12:34:44,311 | numpy_client.py:260 | cached_clock: -1, curr_clock: 4
INFO flower 2021-04-08 12:34:47,194 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=4)
DEBUG flower 2021-04-08 12:34:47,217 | numpy_client.py:172 | fit, FitIns(clock=5)
DEBUG flower 2021-04-08 12:34:47,217 | numpy_client.py:260 | cached_clock: -1, curr_clock: 5
