INFO flower 2021-04-11 21:39:39,278 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-11 21:39:39,295 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 21:41:39,507 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 21:41:39,537 | numpy_client.py:228 | read: ReadRes(clock=4)
DEBUG flower 2021-04-11 21:41:39,581 | numpy_client.py:172 | fit, FitIns(clock=6)
DEBUG flower 2021-04-11 21:41:39,581 | numpy_client.py:260 | cached_clock: 4, curr_clock: 6
INFO flower 2021-04-11 21:42:58,207 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=6)
DEBUG flower 2021-04-11 21:42:58,225 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 21:42:59,367 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 21:42:59,387 | numpy_client.py:172 | fit, FitIns(clock=7)
DEBUG flower 2021-04-11 21:42:59,387 | numpy_client.py:260 | cached_clock: 4, curr_clock: 7
INFO flower 2021-04-11 21:42:59,387 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-11 21:42:59,404 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 21:45:01,221 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 21:45:01,246 | numpy_client.py:228 | read: ReadRes(clock=5)
DEBUG flower 2021-04-11 21:45:01,296 | numpy_client.py:172 | fit, FitIns(clock=7)
DEBUG flower 2021-04-11 21:45:01,296 | numpy_client.py:260 | cached_clock: 5, curr_clock: 7
INFO flower 2021-04-11 21:46:22,173 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=7)
DEBUG flower 2021-04-11 21:46:22,191 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 21:46:24,150 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 21:46:24,170 | numpy_client.py:172 | fit, FitIns(clock=8)
DEBUG flower 2021-04-11 21:46:24,170 | numpy_client.py:260 | cached_clock: 5, curr_clock: 8
INFO flower 2021-04-11 21:46:24,170 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-11 21:46:24,186 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 21:48:21,597 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 21:48:21,624 | numpy_client.py:228 | read: ReadRes(clock=6)
DEBUG flower 2021-04-11 21:48:21,666 | numpy_client.py:172 | fit, FitIns(clock=8)
DEBUG flower 2021-04-11 21:48:21,666 | numpy_client.py:260 | cached_clock: 6, curr_clock: 8
INFO flower 2021-04-11 21:49:40,501 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=8)
DEBUG flower 2021-04-11 21:49:40,519 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 21:49:41,661 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 21:49:41,682 | numpy_client.py:172 | fit, FitIns(clock=9)
DEBUG flower 2021-04-11 21:49:41,682 | numpy_client.py:260 | cached_clock: 6, curr_clock: 9
INFO flower 2021-04-11 21:49:41,682 | numpy_client.py:184 | Cache is stale, return ReadIns
