INFO flower 2021-04-08 06:36:37,817 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.2.44:58464
INFO flower 2021-04-08 06:36:37,823 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.57.39:40008
INFO flower 2021-04-08 06:36:37,824 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.18.27:39920
INFO flower 2021-04-08 06:36:37,825 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.53.38:59352
INFO flower 2021-04-08 06:36:37,832 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.49.25:43952
INFO flower 2021-04-08 06:36:37,833 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.4.47:45808
INFO flower 2021-04-08 06:36:37,833 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.43.26:53654
INFO flower 2021-04-08 06:36:37,834 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.58.35:48306
INFO flower 2021-04-08 06:36:37,834 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.22.37:43532
INFO flower 2021-04-08 06:36:37,834 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.38.37:38950
INFO flower 2021-04-08 06:36:37,835 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.33.28:52496
INFO flower 2021-04-08 06:36:37,835 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.5.45:50714
INFO flower 2021-04-08 06:36:37,835 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.6.47:41020
INFO flower 2021-04-08 06:36:37,933 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.6.47:41020
INFO flower 2021-04-08 06:36:37,845 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.7.45:55376
INFO flower 2021-04-08 06:36:37,851 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.35.37:40150
INFO flower 2021-04-08 06:36:37,853 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.40.27:44682
INFO flower 2021-04-08 06:36:37,854 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.8.47:36710
INFO flower 2021-04-08 06:36:37,854 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.31.25:37408
INFO flower 2021-04-08 06:36:37,857 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.41.36:53154
INFO flower 2021-04-08 06:36:37,857 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.25.37:49890
INFO flower 2021-04-08 06:36:37,807 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.54.26:52218
