round,loss,accuracy,time
0,1000,0.041522242730676936,0
0,1000,0.01609440654773338,50
0,1000,0.01589490642532892,100
0,1000,0.019601104172709688,150
0,1000,0.022755028529940734,200
0,1000,0.03650981335983832,250
0,1000,0.04718255011130934,300
0,1000,0.06222646971797618,350
0,1000,0.07116579745465956,400
0,1000,0.08951454368877196,450
0,1000,0.11727486789806987,500
0,1000,0.10753582906539508,550
0,1000,0.09132784051513315,600
0,1000,0.12586630774226723,650
0,1000,0.12122783905888239,700
0,1000,0.13377306819854612,750
0,1000,0.1316016238672003,800
0,1000,0.14363862529365246,850
0,1000,0.1248934156736278,900
0,1000,0.15540625550797063,950
0,1000,0.15138322964673215,1000
0,1000,0.15427289111943854,1050
0,1000,0.16848630333111164,1100
0,1000,0.16654009783513368,1150
0,1000,0.16092693546024334,1200
0,1000,0.19625341942963817,1250
0,1000,0.17052311168733456,1300
0,1000,0.1721328524023295,1350
0,1000,0.180443998788974,1400
0,1000,0.19014690055718161,1450
0,1000,0.2080552815681268,1500
0,1000,0.2066661435276998,1550
0,1000,0.21896199081910467,1600
0,1000,0.23994626091894244,1650
0,1000,0.22596352992755417,1700
0,1000,0.2329901119750108,1750
0,1000,0.21867673497045012,1800
0,1000,0.2740864950068132,1850
0,1000,0.24836096683881326,1900
0,1000,0.29472941619237364,1950
0,1000,0.27758012482224115,2000
0,1000,0.2933811393094174,2050
0,1000,0.274441527320986,2100
0,1000,0.3241570302522293,2150
0,1000,0.2781256372164288,2200
0,1000,0.2904993784084686,2250
0,1000,0.28976377063338793,2300
0,1000,0.2847330181749767,2300
0,1000,0.34250954136098977,2350
0,1000,0.2909712073280178,2400
0,1000,0.29545771254078224,2450
0,1000,0.3214934042906253,2500
0,1000,0.28035119033253525,2550
0,1000,0.2838151164830613,2600
0,1000,0.28203411490921454,2650
0,1000,0.3022365267132791,2700
0,1000,0.30329839912845763,2750
0,1000,0.3113145059291967,2800
0,1000,0.3224465224452464,2850
0,1000,0.2854315287822217,2900
0,1000,0.3016836946337192,2950
