0,1510.3913657665253,0.1533,19.560213148000003
1,1487.4247362613678,0.1586,35.537789204
2,1530.5848762989044,0.1673,53.575587912
3,1494.3112289905548,0.1737,68.347290034
4,1508.447595357895,0.1557,84.407048922
5,1505.2615020275116,0.1879,98.754392572
6,1494.5834152698517,0.1902,113.305544258
7,1413.0092043876648,0.2201,128.58325462
8,1391.9515221118927,0.2342,143.290167421
9,1433.4305698871613,0.2312,158.247658953
10,1380.4967696666718,0.2363,175.198081825
11,1408.1174125671387,0.2246,189.465098667
12,1373.3483254909515,0.2334,203.997695593
13,1398.9159426689148,0.2387,217.863642577
14,1375.1758649349213,0.2423,231.721878856
15,1366.8351998329163,0.2481,244.664859294
16,1398.0871493816376,0.2433,263.818322769
17,1412.8880171775818,0.2455,279.579173923
18,1420.027804851532,0.2399,293.267465904
19,1423.4876382350922,0.2416,309.114335961
20,1654.8536777496338,0.2502,325.258976226
21,1654.8536777496338,0.2514,338.258976226
22,1654.8536777496338,0.2455,352.258976226
23,1654.8536777496338,0.2467,365.258976226
24,1654.8536777496338,0.2498,390.258976226
99,306,229,202
