DEBUG flower 2021-04-08 12:58:14,483 | connection.py:36 | ChannelConnectivity.IDLE
DEBUG flower 2021-04-08 12:58:14,485 | connection.py:36 | ChannelConnectivity.READY
INFO flower 2021-04-08 12:58:14,485 | app.py:63 | Opened (insecure) gRPC connection
DEBUG flower 2021-04-08 12:58:18,947 | numpy_client.py:172 | fit, FitIns(clock=0)
INFO flower 2021-04-08 12:58:18,947 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-08 12:58:19,158 | numpy_client.py:228 | read: ReadRes(clock=-1)
DEBUG flower 2021-04-08 12:58:19,176 | numpy_client.py:172 | fit, FitIns(clock=0)
DEBUG flower 2021-04-08 12:58:19,176 | numpy_client.py:260 | cached_clock: -1, curr_clock: 0
DEBUG flower 2021-04-08 12:58:21,909 | model_wrapper.py:21 | Load existing initial model
INFO flower 2021-04-08 12:58:21,975 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=0)
DEBUG flower 2021-04-08 12:58:21,994 | numpy_client.py:172 | fit, FitIns(clock=1)
DEBUG flower 2021-04-08 12:58:21,994 | numpy_client.py:260 | cached_clock: -1, curr_clock: 1
INFO flower 2021-04-08 12:58:24,714 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=1)
DEBUG flower 2021-04-08 12:58:32,632 | numpy_client.py:172 | fit, FitIns(clock=2)
DEBUG flower 2021-04-08 12:58:32,632 | numpy_client.py:260 | cached_clock: -1, curr_clock: 2
INFO flower 2021-04-08 12:58:35,397 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=2)
DEBUG flower 2021-04-08 12:58:35,421 | numpy_client.py:172 | fit, FitIns(clock=3)
DEBUG flower 2021-04-08 12:58:35,421 | numpy_client.py:260 | cached_clock: -1, curr_clock: 3
INFO flower 2021-04-08 12:58:37,890 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=3)
DEBUG flower 2021-04-08 12:58:45,932 | numpy_client.py:172 | fit, FitIns(clock=4)
DEBUG flower 2021-04-08 12:58:45,932 | numpy_client.py:260 | cached_clock: -1, curr_clock: 4
INFO flower 2021-04-08 12:58:48,480 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=4)
DEBUG flower 2021-04-08 12:58:48,506 | numpy_client.py:172 | fit, FitIns(clock=5)
DEBUG flower 2021-04-08 12:58:48,507 | numpy_client.py:260 | cached_clock: -1, curr_clock: 5
INFO flower 2021-04-08 12:58:50,798 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=5)
DEBUG flower 2021-04-08 12:58:59,523 | numpy_client.py:172 | fit, FitIns(clock=6)
DEBUG flower 2021-04-08 12:58:59,524 | numpy_client.py:260 | cached_clock: -1, curr_clock: 6
INFO flower 2021-04-08 12:59:01,885 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=6)
DEBUG flower 2021-04-08 12:59:01,908 | numpy_client.py:172 | fit, FitIns(clock=7)
DEBUG flower 2021-04-08 12:59:01,908 | numpy_client.py:260 | cached_clock: -1, curr_clock: 7
INFO flower 2021-04-08 12:59:04,398 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=7)
DEBUG flower 2021-04-08 12:59:13,218 | numpy_client.py:172 | fit, FitIns(clock=8)
DEBUG flower 2021-04-08 12:59:13,218 | numpy_client.py:260 | cached_clock: -1, curr_clock: 8
