round,loss,accuracy,time
0,2043.647322177887,0.004301075268817204,0
1,2331.22100687027,0.16344086021505377,148.09768077358603
2,2518.5861415863037,0.1913978494623656,271.6673536412418
3,2289.91362118721,0.1956989247311828,413.6253187377006
4,2498.9862036705017,0.22795698924731184,536.5013654567301
5,2350.0710644721985,0.2064516129032258,685.7606710437685
6,2612.596501350403,0.23870967741935484,808.8449960555881
7,2468.242033481598,0.2064516129032258,955.1142557244748
8,2623.93994140625,0.22580645161290322,1078.8546530026942
9,2481.8787117004395,0.21505376344086022,1222.3727911468595
10,2688.2537751197815,0.210752688172043,1347.440569780767
11,2464.4148259162903,0.2021505376344086,1491.6224925797433
12,2602.6300830841064,0.24516129032258063,1616.4266371876001
13,2544.7728476524353,0.1978494623655914,1763.6412714459002
14,2674.2382669448853,0.23440860215053763,1892.3639870993793
15,2631.679853916168,0.2172043010752688,2038.1512921452522
16,2772.2762122154236,0.221505376344086,2164.6259299963713
17,2717.3616156578064,0.23225806451612904,2309.8665391243994
18,2831.353075504303,0.23655913978494625,2433.9383822139353
19,2788.273512840271,0.2021505376344086,2578.488880597055
20,2937.674488067627,0.24731182795698925,2704.156084129587
21,2870.2093744277954,0.24086021505376345,2849.2250087801367
22,3099.807626724243,0.24946236559139784,2972.822796944529
23,2964.231620788574,0.23870967741935484,3118.2529338896275
24,3199.4663314819336,0.21505376344086022,3242.1561953276396
25,3016.3171801567078,0.2064516129032258,3387.6425062138587
26,3250.9432983398438,0.2129032258064516,3511.6610003635287
27,3103.7154846191406,0.2172043010752688,3656.6845159661025
28,3365.0372319221497,0.24086021505376345,3780.2605831213295
29,3229.058017730713,0.1978494623655914,3922.6736140493304
30,3471.249144554138,0.210752688172043,4068.461704654619
