DEBUG flower 2021-04-10 16:54:58,540 | client.py:85 | Start SSP client without delay
DEBUG flower 2021-04-10 16:55:01,221 | connection.py:36 | ChannelConnectivity.IDLE
INFO flower 2021-04-10 16:55:01,223 | app.py:63 | Opened (insecure) gRPC connection
DEBUG flower 2021-04-10 16:55:01,223 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:55:01,224 | connection.py:36 | ChannelConnectivity.CONNECTING
DEBUG flower 2021-04-10 16:55:01,225 | connection.py:36 | ChannelConnectivity.READY
DEBUG flower 2021-04-10 16:55:09,937 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:55:09,938 | numpy_client.py:172 | fit, FitIns(clock=0)
INFO flower 2021-04-10 16:55:09,938 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 16:55:09,939 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:55:10,179 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:55:10,180 | numpy_client.py:228 | read: ReadRes(clock=-1)
DEBUG flower 2021-04-10 16:55:10,198 | numpy_client.py:172 | fit, FitIns(clock=0)
DEBUG flower 2021-04-10 16:55:10,198 | numpy_client.py:260 | cached_clock: -1, curr_clock: 0
DEBUG flower 2021-04-10 16:55:12,526 | model_wrapper.py:21 | Load existing initial model
INFO flower 2021-04-10 16:55:12,529 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=0)
DEBUG flower 2021-04-10 16:55:12,530 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:55:12,552 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:55:12,553 | numpy_client.py:172 | fit, FitIns(clock=1)
DEBUG flower 2021-04-10 16:55:12,553 | numpy_client.py:260 | cached_clock: -1, curr_clock: 1
INFO flower 2021-04-10 16:55:14,808 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=1)
DEBUG flower 2021-04-10 16:55:14,808 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:55:14,829 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:55:14,830 | numpy_client.py:172 | fit, FitIns(clock=2)
DEBUG flower 2021-04-10 16:55:14,830 | numpy_client.py:260 | cached_clock: -1, curr_clock: 2
INFO flower 2021-04-10 16:55:17,108 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=2)
DEBUG flower 2021-04-10 16:55:17,108 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:55:17,128 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:55:17,128 | numpy_client.py:172 | fit, FitIns(clock=3)
DEBUG flower 2021-04-10 16:55:17,128 | numpy_client.py:260 | cached_clock: -1, curr_clock: 3
INFO flower 2021-04-10 16:55:19,532 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=3)
DEBUG flower 2021-04-10 16:55:19,533 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:55:19,553 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:55:19,554 | numpy_client.py:172 | fit, FitIns(clock=4)
DEBUG flower 2021-04-10 16:55:19,554 | numpy_client.py:260 | cached_clock: -1, curr_clock: 4
INFO flower 2021-04-10 16:55:21,926 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=4)
DEBUG flower 2021-04-10 16:55:21,926 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:55:21,949 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:55:21,949 | numpy_client.py:172 | fit, FitIns(clock=5)
DEBUG flower 2021-04-10 16:55:21,949 | numpy_client.py:260 | cached_clock: -1, curr_clock: 5
INFO flower 2021-04-10 16:55:21,950 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 16:55:21,950 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:56:29,004 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:56:29,005 | numpy_client.py:228 | read: ReadRes(clock=0)
DEBUG flower 2021-04-10 16:56:29,013 | numpy_client.py:172 | fit, FitIns(clock=5)
DEBUG flower 2021-04-10 16:56:29,013 | numpy_client.py:260 | cached_clock: 0, curr_clock: 5
INFO flower 2021-04-10 16:56:31,423 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=5)
DEBUG flower 2021-04-10 16:56:31,424 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:56:31,445 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:56:31,446 | numpy_client.py:172 | fit, FitIns(clock=6)
DEBUG flower 2021-04-10 16:56:31,446 | numpy_client.py:260 | cached_clock: 0, curr_clock: 6
INFO flower 2021-04-10 16:56:31,446 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 16:56:31,446 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:58:00,729 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:58:00,729 | numpy_client.py:228 | read: ReadRes(clock=1)
DEBUG flower 2021-04-10 16:58:00,737 | numpy_client.py:172 | fit, FitIns(clock=6)
DEBUG flower 2021-04-10 16:58:00,737 | numpy_client.py:260 | cached_clock: 1, curr_clock: 6
INFO flower 2021-04-10 16:58:03,023 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=6)
DEBUG flower 2021-04-10 16:58:03,023 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:58:03,044 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:58:03,044 | numpy_client.py:172 | fit, FitIns(clock=7)
DEBUG flower 2021-04-10 16:58:03,045 | numpy_client.py:260 | cached_clock: 1, curr_clock: 7
INFO flower 2021-04-10 16:58:03,045 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 16:58:03,045 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:59:15,003 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:59:15,003 | numpy_client.py:228 | read: ReadRes(clock=2)
DEBUG flower 2021-04-10 16:59:15,011 | numpy_client.py:172 | fit, FitIns(clock=7)
DEBUG flower 2021-04-10 16:59:15,011 | numpy_client.py:260 | cached_clock: 2, curr_clock: 7
INFO flower 2021-04-10 16:59:17,235 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=7)
DEBUG flower 2021-04-10 16:59:17,236 | app.py:66 | Waiting for message from server...
