DEBUG flower 2021-04-10 16:54:57,931 | client.py:85 | Start SSP client without delay
DEBUG flower 2021-04-10 16:55:00,607 | connection.py:36 | ChannelConnectivity.IDLE
DEBUG flower 2021-04-10 16:55:00,610 | connection.py:36 | ChannelConnectivity.READY
INFO flower 2021-04-10 16:55:00,610 | app.py:63 | Opened (insecure) gRPC connection
DEBUG flower 2021-04-10 16:55:00,610 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:55:10,030 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:55:10,030 | numpy_client.py:172 | fit, FitIns(clock=0)
INFO flower 2021-04-10 16:55:10,030 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 16:55:10,031 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:55:10,220 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:55:10,220 | numpy_client.py:228 | read: ReadRes(clock=-1)
DEBUG flower 2021-04-10 16:55:10,238 | numpy_client.py:172 | fit, FitIns(clock=0)
DEBUG flower 2021-04-10 16:55:10,238 | numpy_client.py:260 | cached_clock: -1, curr_clock: 0
DEBUG flower 2021-04-10 16:55:11,102 | model_wrapper.py:21 | Load existing initial model
INFO flower 2021-04-10 16:55:11,107 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=0)
DEBUG flower 2021-04-10 16:55:11,107 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:55:11,128 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:55:11,129 | numpy_client.py:172 | fit, FitIns(clock=1)
DEBUG flower 2021-04-10 16:55:11,129 | numpy_client.py:260 | cached_clock: -1, curr_clock: 1
INFO flower 2021-04-10 16:55:11,927 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=1)
DEBUG flower 2021-04-10 16:55:11,927 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:55:11,947 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:55:11,947 | numpy_client.py:172 | fit, FitIns(clock=2)
DEBUG flower 2021-04-10 16:55:11,947 | numpy_client.py:260 | cached_clock: -1, curr_clock: 2
INFO flower 2021-04-10 16:55:12,806 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=2)
DEBUG flower 2021-04-10 16:55:12,807 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:55:12,827 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:55:12,827 | numpy_client.py:172 | fit, FitIns(clock=3)
DEBUG flower 2021-04-10 16:55:12,828 | numpy_client.py:260 | cached_clock: -1, curr_clock: 3
INFO flower 2021-04-10 16:55:13,628 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=3)
DEBUG flower 2021-04-10 16:55:13,629 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:55:13,648 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:55:13,648 | numpy_client.py:172 | fit, FitIns(clock=4)
DEBUG flower 2021-04-10 16:55:13,649 | numpy_client.py:260 | cached_clock: -1, curr_clock: 4
INFO flower 2021-04-10 16:55:14,506 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=4)
DEBUG flower 2021-04-10 16:55:14,507 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:55:14,526 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:55:14,526 | numpy_client.py:172 | fit, FitIns(clock=5)
DEBUG flower 2021-04-10 16:55:14,526 | numpy_client.py:260 | cached_clock: -1, curr_clock: 5
INFO flower 2021-04-10 16:55:14,526 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 16:55:14,527 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:56:29,117 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:56:29,118 | numpy_client.py:228 | read: ReadRes(clock=0)
DEBUG flower 2021-04-10 16:56:29,130 | numpy_client.py:172 | fit, FitIns(clock=5)
DEBUG flower 2021-04-10 16:56:29,131 | numpy_client.py:260 | cached_clock: 0, curr_clock: 5
INFO flower 2021-04-10 16:56:29,929 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=5)
DEBUG flower 2021-04-10 16:56:29,929 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:56:29,952 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:56:29,952 | numpy_client.py:172 | fit, FitIns(clock=6)
DEBUG flower 2021-04-10 16:56:29,952 | numpy_client.py:260 | cached_clock: 0, curr_clock: 6
INFO flower 2021-04-10 16:56:29,952 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 16:56:29,952 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:58:00,603 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:58:00,603 | numpy_client.py:228 | read: ReadRes(clock=1)
DEBUG flower 2021-04-10 16:58:00,610 | numpy_client.py:172 | fit, FitIns(clock=6)
DEBUG flower 2021-04-10 16:58:00,610 | numpy_client.py:260 | cached_clock: 1, curr_clock: 6
INFO flower 2021-04-10 16:58:01,425 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=6)
DEBUG flower 2021-04-10 16:58:01,426 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:58:01,448 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:58:01,448 | numpy_client.py:172 | fit, FitIns(clock=7)
DEBUG flower 2021-04-10 16:58:01,448 | numpy_client.py:260 | cached_clock: 1, curr_clock: 7
INFO flower 2021-04-10 16:58:01,448 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 16:58:01,449 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:59:15,102 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:59:15,103 | numpy_client.py:228 | read: ReadRes(clock=2)
DEBUG flower 2021-04-10 16:59:15,110 | numpy_client.py:172 | fit, FitIns(clock=7)
DEBUG flower 2021-04-10 16:59:15,110 | numpy_client.py:260 | cached_clock: 2, curr_clock: 7
INFO flower 2021-04-10 16:59:15,935 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=7)
DEBUG flower 2021-04-10 16:59:15,935 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:59:15,958 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:59:15,958 | numpy_client.py:172 | fit, FitIns(clock=8)
DEBUG flower 2021-04-10 16:59:15,958 | numpy_client.py:260 | cached_clock: 2, curr_clock: 8
INFO flower 2021-04-10 16:59:15,958 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 16:59:15,959 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 17:00:09,866 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 17:00:09,867 | numpy_client.py:228 | read: ReadRes(clock=3)
DEBUG flower 2021-04-10 17:00:09,874 | numpy_client.py:172 | fit, FitIns(clock=8)
DEBUG flower 2021-04-10 17:00:09,874 | numpy_client.py:260 | cached_clock: 3, curr_clock: 8
INFO flower 2021-04-10 17:00:10,717 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=8)
DEBUG flower 2021-04-10 17:00:10,717 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 17:00:10,738 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 17:00:10,738 | numpy_client.py:172 | fit, FitIns(clock=9)
DEBUG flower 2021-04-10 17:00:10,738 | numpy_client.py:260 | cached_clock: 3, curr_clock: 9
INFO flower 2021-04-10 17:00:10,739 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 17:00:10,739 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 17:01:07,839 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 17:01:07,839 | numpy_client.py:228 | read: ReadRes(clock=4)
DEBUG flower 2021-04-10 17:01:07,847 | numpy_client.py:172 | fit, FitIns(clock=9)
DEBUG flower 2021-04-10 17:01:07,847 | numpy_client.py:260 | cached_clock: 4, curr_clock: 9
INFO flower 2021-04-10 17:01:08,727 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=9)
DEBUG flower 2021-04-10 17:01:08,727 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 17:01:08,750 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 17:01:08,750 | numpy_client.py:172 | fit, FitIns(clock=10)
DEBUG flower 2021-04-10 17:01:08,750 | numpy_client.py:260 | cached_clock: 4, curr_clock: 10
INFO flower 2021-04-10 17:01:08,750 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 17:01:08,751 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 17:02:06,102 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 17:02:06,103 | numpy_client.py:228 | read: ReadRes(clock=5)
DEBUG flower 2021-04-10 17:02:06,110 | numpy_client.py:172 | fit, FitIns(clock=10)
DEBUG flower 2021-04-10 17:02:06,110 | numpy_client.py:260 | cached_clock: 5, curr_clock: 10
INFO flower 2021-04-10 17:02:07,007 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=10)
DEBUG flower 2021-04-10 17:02:07,008 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 17:02:07,030 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 17:02:07,030 | numpy_client.py:172 | fit, FitIns(clock=11)
DEBUG flower 2021-04-10 17:02:07,030 | numpy_client.py:260 | cached_clock: 5, curr_clock: 11
INFO flower 2021-04-10 17:02:07,030 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 17:02:07,030 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 17:03:36,202 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 17:03:36,203 | numpy_client.py:228 | read: ReadRes(clock=6)
DEBUG flower 2021-04-10 17:03:36,210 | numpy_client.py:172 | fit, FitIns(clock=11)
DEBUG flower 2021-04-10 17:03:36,210 | numpy_client.py:260 | cached_clock: 6, curr_clock: 11
INFO flower 2021-04-10 17:03:37,023 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=11)
DEBUG flower 2021-04-10 17:03:37,023 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 17:03:37,042 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 17:03:37,042 | numpy_client.py:172 | fit, FitIns(clock=12)
DEBUG flower 2021-04-10 17:03:37,042 | numpy_client.py:260 | cached_clock: 6, curr_clock: 12
INFO flower 2021-04-10 17:03:37,042 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 17:03:37,042 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 17:05:06,402 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 17:05:06,403 | numpy_client.py:228 | read: ReadRes(clock=7)
DEBUG flower 2021-04-10 17:05:06,410 | numpy_client.py:172 | fit, FitIns(clock=12)
DEBUG flower 2021-04-10 17:05:06,410 | numpy_client.py:260 | cached_clock: 7, curr_clock: 12
INFO flower 2021-04-10 17:05:07,408 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=12)
DEBUG flower 2021-04-10 17:05:07,409 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 17:05:07,427 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 17:05:07,428 | numpy_client.py:172 | fit, FitIns(clock=13)
DEBUG flower 2021-04-10 17:05:07,428 | numpy_client.py:260 | cached_clock: 7, curr_clock: 13
INFO flower 2021-04-10 17:05:07,428 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 17:05:07,428 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 17:06:02,261 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 17:06:02,261 | numpy_client.py:228 | read: ReadRes(clock=8)
DEBUG flower 2021-04-10 17:06:02,269 | numpy_client.py:172 | fit, FitIns(clock=13)
DEBUG flower 2021-04-10 17:06:02,269 | numpy_client.py:260 | cached_clock: 8, curr_clock: 13
INFO flower 2021-04-10 17:06:03,108 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=13)
DEBUG flower 2021-04-10 17:06:03,109 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 17:06:03,130 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 17:06:03,130 | numpy_client.py:172 | fit, FitIns(clock=14)
DEBUG flower 2021-04-10 17:06:03,130 | numpy_client.py:260 | cached_clock: 8, curr_clock: 14
INFO flower 2021-04-10 17:06:03,130 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 17:06:03,131 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 17:07:07,102 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 17:07:07,103 | numpy_client.py:228 | read: ReadRes(clock=9)
DEBUG flower 2021-04-10 17:07:07,111 | numpy_client.py:172 | fit, FitIns(clock=14)
DEBUG flower 2021-04-10 17:07:07,111 | numpy_client.py:260 | cached_clock: 9, curr_clock: 14
INFO flower 2021-04-10 17:07:07,926 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=14)
DEBUG flower 2021-04-10 17:07:07,927 | app.py:66 | Waiting for message from server...
