DEBUG flower 2021-04-10 16:54:59,440 | client.py:85 | Start SSP client without delay
DEBUG flower 2021-04-10 16:55:02,139 | connection.py:36 | ChannelConnectivity.IDLE
DEBUG flower 2021-04-10 16:55:02,141 | connection.py:36 | ChannelConnectivity.CONNECTING
INFO flower 2021-04-10 16:55:02,142 | app.py:63 | Opened (insecure) gRPC connection
DEBUG flower 2021-04-10 16:55:02,142 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:55:02,142 | connection.py:36 | ChannelConnectivity.READY
DEBUG flower 2021-04-10 16:55:10,164 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:55:10,164 | numpy_client.py:172 | fit, FitIns(clock=0)
INFO flower 2021-04-10 16:55:10,164 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 16:55:10,165 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:55:10,260 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:55:10,260 | numpy_client.py:228 | read: ReadRes(clock=-1)
DEBUG flower 2021-04-10 16:55:10,276 | numpy_client.py:172 | fit, FitIns(clock=0)
DEBUG flower 2021-04-10 16:55:10,276 | numpy_client.py:260 | cached_clock: -1, curr_clock: 0
DEBUG flower 2021-04-10 16:55:11,233 | model_wrapper.py:21 | Load existing initial model
INFO flower 2021-04-10 16:55:11,236 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=0)
DEBUG flower 2021-04-10 16:55:11,237 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:55:11,265 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:55:11,265 | numpy_client.py:172 | fit, FitIns(clock=1)
DEBUG flower 2021-04-10 16:55:11,265 | numpy_client.py:260 | cached_clock: -1, curr_clock: 1
INFO flower 2021-04-10 16:55:12,222 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=1)
DEBUG flower 2021-04-10 16:55:12,222 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:55:12,244 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:55:12,244 | numpy_client.py:172 | fit, FitIns(clock=2)
DEBUG flower 2021-04-10 16:55:12,244 | numpy_client.py:260 | cached_clock: -1, curr_clock: 2
INFO flower 2021-04-10 16:55:13,322 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=2)
DEBUG flower 2021-04-10 16:55:13,323 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:55:13,345 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:55:13,345 | numpy_client.py:172 | fit, FitIns(clock=3)
DEBUG flower 2021-04-10 16:55:13,345 | numpy_client.py:260 | cached_clock: -1, curr_clock: 3
INFO flower 2021-04-10 16:55:14,321 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=3)
DEBUG flower 2021-04-10 16:55:14,321 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:55:14,340 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:55:14,340 | numpy_client.py:172 | fit, FitIns(clock=4)
DEBUG flower 2021-04-10 16:55:14,340 | numpy_client.py:260 | cached_clock: -1, curr_clock: 4
INFO flower 2021-04-10 16:55:15,317 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=4)
DEBUG flower 2021-04-10 16:55:15,317 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:55:15,335 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:55:15,336 | numpy_client.py:172 | fit, FitIns(clock=5)
DEBUG flower 2021-04-10 16:55:15,336 | numpy_client.py:260 | cached_clock: -1, curr_clock: 5
INFO flower 2021-04-10 16:55:15,336 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 16:55:15,336 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:56:29,067 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:56:29,068 | numpy_client.py:228 | read: ReadRes(clock=0)
DEBUG flower 2021-04-10 16:56:29,075 | numpy_client.py:172 | fit, FitIns(clock=5)
DEBUG flower 2021-04-10 16:56:29,075 | numpy_client.py:260 | cached_clock: 0, curr_clock: 5
INFO flower 2021-04-10 16:56:30,023 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=5)
DEBUG flower 2021-04-10 16:56:30,023 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:56:30,044 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:56:30,045 | numpy_client.py:172 | fit, FitIns(clock=6)
DEBUG flower 2021-04-10 16:56:30,045 | numpy_client.py:260 | cached_clock: 0, curr_clock: 6
INFO flower 2021-04-10 16:56:30,045 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 16:56:30,045 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:58:00,729 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:58:00,729 | numpy_client.py:228 | read: ReadRes(clock=1)
DEBUG flower 2021-04-10 16:58:00,736 | numpy_client.py:172 | fit, FitIns(clock=6)
DEBUG flower 2021-04-10 16:58:00,736 | numpy_client.py:260 | cached_clock: 1, curr_clock: 6
INFO flower 2021-04-10 16:58:01,710 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=6)
DEBUG flower 2021-04-10 16:58:01,711 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:58:01,729 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:58:01,729 | numpy_client.py:172 | fit, FitIns(clock=7)
DEBUG flower 2021-04-10 16:58:01,729 | numpy_client.py:260 | cached_clock: 1, curr_clock: 7
INFO flower 2021-04-10 16:58:01,729 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 16:58:01,730 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:59:15,055 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:59:15,056 | numpy_client.py:228 | read: ReadRes(clock=2)
DEBUG flower 2021-04-10 16:59:15,063 | numpy_client.py:172 | fit, FitIns(clock=7)
DEBUG flower 2021-04-10 16:59:15,063 | numpy_client.py:260 | cached_clock: 2, curr_clock: 7
INFO flower 2021-04-10 16:59:16,021 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=7)
DEBUG flower 2021-04-10 16:59:16,021 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:59:16,049 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:59:16,049 | numpy_client.py:172 | fit, FitIns(clock=8)
DEBUG flower 2021-04-10 16:59:16,049 | numpy_client.py:260 | cached_clock: 2, curr_clock: 8
INFO flower 2021-04-10 16:59:16,049 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 16:59:16,049 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 17:00:09,953 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 17:00:09,953 | numpy_client.py:228 | read: ReadRes(clock=3)
DEBUG flower 2021-04-10 17:00:09,960 | numpy_client.py:172 | fit, FitIns(clock=8)
DEBUG flower 2021-04-10 17:00:09,960 | numpy_client.py:260 | cached_clock: 3, curr_clock: 8
INFO flower 2021-04-10 17:00:10,923 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=8)
DEBUG flower 2021-04-10 17:00:10,924 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 17:00:10,944 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 17:00:10,944 | numpy_client.py:172 | fit, FitIns(clock=9)
DEBUG flower 2021-04-10 17:00:10,944 | numpy_client.py:260 | cached_clock: 3, curr_clock: 9
INFO flower 2021-04-10 17:00:10,944 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 17:00:10,945 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 17:01:07,764 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 17:01:07,765 | numpy_client.py:228 | read: ReadRes(clock=4)
DEBUG flower 2021-04-10 17:01:07,772 | numpy_client.py:172 | fit, FitIns(clock=9)
DEBUG flower 2021-04-10 17:01:07,772 | numpy_client.py:260 | cached_clock: 4, curr_clock: 9
INFO flower 2021-04-10 17:01:08,734 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=9)
DEBUG flower 2021-04-10 17:01:08,735 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 17:01:08,759 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 17:01:08,760 | numpy_client.py:172 | fit, FitIns(clock=10)
DEBUG flower 2021-04-10 17:01:08,760 | numpy_client.py:260 | cached_clock: 4, curr_clock: 10
INFO flower 2021-04-10 17:01:08,760 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 17:01:08,760 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 17:02:06,104 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 17:02:06,105 | numpy_client.py:228 | read: ReadRes(clock=5)
DEBUG flower 2021-04-10 17:02:06,112 | numpy_client.py:172 | fit, FitIns(clock=10)
DEBUG flower 2021-04-10 17:02:06,112 | numpy_client.py:260 | cached_clock: 5, curr_clock: 10
INFO flower 2021-04-10 17:02:07,109 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=10)
DEBUG flower 2021-04-10 17:02:07,109 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 17:02:07,145 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 17:02:07,145 | numpy_client.py:172 | fit, FitIns(clock=11)
DEBUG flower 2021-04-10 17:02:07,145 | numpy_client.py:260 | cached_clock: 5, curr_clock: 11
