DEBUG flower 2021-04-10 16:55:05,051 | client.py:85 | Start SSP client without delay
DEBUG flower 2021-04-10 16:55:07,792 | connection.py:36 | ChannelConnectivity.IDLE
INFO flower 2021-04-10 16:55:07,794 | app.py:63 | Opened (insecure) gRPC connection
DEBUG flower 2021-04-10 16:55:07,794 | connection.py:36 | ChannelConnectivity.CONNECTING
DEBUG flower 2021-04-10 16:55:07,794 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:55:07,797 | connection.py:36 | ChannelConnectivity.READY
DEBUG flower 2021-04-10 16:55:09,810 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:55:09,811 | numpy_client.py:172 | fit, FitIns(clock=0)
INFO flower 2021-04-10 16:55:09,811 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 16:55:09,812 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:55:09,917 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:55:09,918 | numpy_client.py:228 | read: ReadRes(clock=-1)
DEBUG flower 2021-04-10 16:55:09,933 | numpy_client.py:172 | fit, FitIns(clock=0)
DEBUG flower 2021-04-10 16:55:09,933 | numpy_client.py:260 | cached_clock: -1, curr_clock: 0
DEBUG flower 2021-04-10 16:55:14,985 | model_wrapper.py:21 | Load existing initial model
INFO flower 2021-04-10 16:55:14,989 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=0)
DEBUG flower 2021-04-10 16:55:14,990 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:55:15,009 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:55:15,010 | numpy_client.py:172 | fit, FitIns(clock=1)
DEBUG flower 2021-04-10 16:55:15,010 | numpy_client.py:260 | cached_clock: -1, curr_clock: 1
INFO flower 2021-04-10 16:55:20,196 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=1)
DEBUG flower 2021-04-10 16:55:20,197 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:55:20,220 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:55:20,220 | numpy_client.py:172 | fit, FitIns(clock=2)
DEBUG flower 2021-04-10 16:55:20,220 | numpy_client.py:260 | cached_clock: -1, curr_clock: 2
INFO flower 2021-04-10 16:55:24,881 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=2)
DEBUG flower 2021-04-10 16:55:24,882 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:55:24,904 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:55:24,904 | numpy_client.py:172 | fit, FitIns(clock=3)
DEBUG flower 2021-04-10 16:55:24,905 | numpy_client.py:260 | cached_clock: -1, curr_clock: 3
INFO flower 2021-04-10 16:55:28,996 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=3)
DEBUG flower 2021-04-10 16:55:28,996 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:55:29,018 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:55:29,018 | numpy_client.py:172 | fit, FitIns(clock=4)
DEBUG flower 2021-04-10 16:55:29,018 | numpy_client.py:260 | cached_clock: -1, curr_clock: 4
INFO flower 2021-04-10 16:55:33,199 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=4)
DEBUG flower 2021-04-10 16:55:33,200 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:55:33,220 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:55:33,221 | numpy_client.py:172 | fit, FitIns(clock=5)
DEBUG flower 2021-04-10 16:55:33,221 | numpy_client.py:260 | cached_clock: -1, curr_clock: 5
INFO flower 2021-04-10 16:55:33,221 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 16:55:33,221 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:56:29,098 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:56:29,099 | numpy_client.py:228 | read: ReadRes(clock=0)
DEBUG flower 2021-04-10 16:56:29,106 | numpy_client.py:172 | fit, FitIns(clock=5)
DEBUG flower 2021-04-10 16:56:29,106 | numpy_client.py:260 | cached_clock: 0, curr_clock: 5
INFO flower 2021-04-10 16:56:33,603 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=5)
DEBUG flower 2021-04-10 16:56:33,603 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:56:33,626 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:56:33,627 | numpy_client.py:172 | fit, FitIns(clock=6)
DEBUG flower 2021-04-10 16:56:33,627 | numpy_client.py:260 | cached_clock: 0, curr_clock: 6
