DEBUG flower 2021-04-10 15:52:14,542 | client.py:85 | Start SSP client without delay
DEBUG flower 2021-04-10 15:52:17,323 | connection.py:36 | ChannelConnectivity.IDLE
INFO flower 2021-04-10 15:52:17,324 | app.py:63 | Opened (insecure) gRPC connection
DEBUG flower 2021-04-10 15:52:17,324 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 15:52:17,325 | connection.py:36 | ChannelConnectivity.READY
DEBUG flower 2021-04-10 15:52:20,854 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 15:52:20,855 | numpy_client.py:172 | fit, FitIns(clock=0)
INFO flower 2021-04-10 15:52:20,855 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 15:52:20,855 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 15:52:21,009 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 15:52:21,009 | numpy_client.py:228 | read: ReadRes(clock=-1)
DEBUG flower 2021-04-10 15:52:21,025 | numpy_client.py:172 | fit, FitIns(clock=0)
DEBUG flower 2021-04-10 15:52:21,025 | numpy_client.py:260 | cached_clock: -1, curr_clock: 0
DEBUG flower 2021-04-10 15:52:21,914 | model_wrapper.py:21 | Load existing initial model
INFO flower 2021-04-10 15:52:21,917 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=0)
DEBUG flower 2021-04-10 15:52:21,917 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 15:52:21,945 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 15:52:21,945 | numpy_client.py:172 | fit, FitIns(clock=1)
DEBUG flower 2021-04-10 15:52:21,945 | numpy_client.py:260 | cached_clock: -1, curr_clock: 1
INFO flower 2021-04-10 15:52:22,912 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=1)
DEBUG flower 2021-04-10 15:52:22,912 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 15:52:22,931 | app.py:68 | Received server message. Handling...
