INFO flower 2021-04-10 15:57:24,727 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 15:57:24,727 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 15:58:19,401 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 15:58:19,401 | numpy_client.py:228 | read: ReadRes(clock=4)
DEBUG flower 2021-04-10 15:58:19,408 | numpy_client.py:172 | fit, FitIns(clock=6)
DEBUG flower 2021-04-10 15:58:19,409 | numpy_client.py:260 | cached_clock: 4, curr_clock: 6
INFO flower 2021-04-10 15:58:22,635 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=6)
DEBUG flower 2021-04-10 15:58:22,635 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 15:58:22,720 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 15:58:22,721 | numpy_client.py:172 | fit, FitIns(clock=7)
DEBUG flower 2021-04-10 15:58:22,721 | numpy_client.py:260 | cached_clock: 4, curr_clock: 7
INFO flower 2021-04-10 15:58:22,721 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 15:58:22,722 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 15:59:17,734 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 15:59:17,735 | numpy_client.py:228 | read: ReadRes(clock=5)
DEBUG flower 2021-04-10 15:59:17,742 | numpy_client.py:172 | fit, FitIns(clock=7)
DEBUG flower 2021-04-10 15:59:17,742 | numpy_client.py:260 | cached_clock: 5, curr_clock: 7
INFO flower 2021-04-10 15:59:20,817 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=7)
DEBUG flower 2021-04-10 15:59:20,818 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 15:59:20,836 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 15:59:20,837 | numpy_client.py:172 | fit, FitIns(clock=8)
DEBUG flower 2021-04-10 15:59:20,837 | numpy_client.py:260 | cached_clock: 5, curr_clock: 8
INFO flower 2021-04-10 15:59:20,837 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 15:59:20,837 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:00:48,045 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:00:48,046 | numpy_client.py:228 | read: ReadRes(clock=6)
DEBUG flower 2021-04-10 16:00:48,053 | numpy_client.py:172 | fit, FitIns(clock=8)
DEBUG flower 2021-04-10 16:00:48,054 | numpy_client.py:260 | cached_clock: 6, curr_clock: 8
INFO flower 2021-04-10 16:00:51,312 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=8)
DEBUG flower 2021-04-10 16:00:51,313 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:00:51,336 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:00:51,336 | numpy_client.py:172 | fit, FitIns(clock=9)
DEBUG flower 2021-04-10 16:00:51,336 | numpy_client.py:260 | cached_clock: 6, curr_clock: 9
INFO flower 2021-04-10 16:00:51,336 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 16:00:51,337 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:02:18,322 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:02:18,323 | numpy_client.py:228 | read: ReadRes(clock=7)
DEBUG flower 2021-04-10 16:02:18,331 | numpy_client.py:172 | fit, FitIns(clock=9)
DEBUG flower 2021-04-10 16:02:18,331 | numpy_client.py:260 | cached_clock: 7, curr_clock: 9
INFO flower 2021-04-10 16:02:21,711 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=9)
DEBUG flower 2021-04-10 16:02:21,712 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:02:21,733 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:02:21,733 | numpy_client.py:172 | fit, FitIns(clock=10)
DEBUG flower 2021-04-10 16:02:21,733 | numpy_client.py:260 | cached_clock: 7, curr_clock: 10
INFO flower 2021-04-10 16:02:21,733 | numpy_client.py:184 | Cache is stale, return ReadIns
