DEBUG flower 2021-04-10 20:02:38,540 | client.py:85 | Start SSP client without delay
DEBUG flower 2021-04-10 20:02:41,234 | connection.py:36 | ChannelConnectivity.IDLE
INFO flower 2021-04-10 20:02:41,236 | app.py:63 | Opened (insecure) gRPC connection
DEBUG flower 2021-04-10 20:02:41,236 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 20:02:41,237 | connection.py:36 | ChannelConnectivity.READY
DEBUG flower 2021-04-10 20:02:51,207 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 20:02:51,207 | numpy_client.py:172 | fit, FitIns(clock=0)
INFO flower 2021-04-10 20:02:51,208 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 20:02:51,208 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 20:02:51,382 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 20:02:51,382 | numpy_client.py:228 | read: ReadRes(clock=-1)
DEBUG flower 2021-04-10 20:02:51,399 | numpy_client.py:172 | fit, FitIns(clock=0)
DEBUG flower 2021-04-10 20:02:51,400 | numpy_client.py:260 | cached_clock: -1, curr_clock: 0
DEBUG flower 2021-04-10 20:02:52,325 | model_wrapper.py:21 | Load existing initial model
INFO flower 2021-04-10 20:02:52,328 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=0)
DEBUG flower 2021-04-10 20:02:52,328 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 20:02:52,345 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 20:02:52,345 | numpy_client.py:238 | update_staleness: Staleness bound set to 30
DEBUG flower 2021-04-10 20:02:52,345 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 20:02:52,355 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 20:02:52,355 | numpy_client.py:172 | fit, FitIns(clock=1)
DEBUG flower 2021-04-10 20:02:52,355 | numpy_client.py:260 | cached_clock: -1, curr_clock: 1
INFO flower 2021-04-10 20:02:53,326 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=1)
DEBUG flower 2021-04-10 20:02:53,326 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 20:02:53,340 | app.py:68 | Received server message. Handling...
