DEBUG flower 2021-04-10 20:02:44,927 | client.py:85 | Start SSP client without delay
DEBUG flower 2021-04-10 20:02:47,533 | connection.py:36 | ChannelConnectivity.IDLE
DEBUG flower 2021-04-10 20:02:47,534 | connection.py:36 | ChannelConnectivity.READY
INFO flower 2021-04-10 20:02:47,534 | app.py:63 | Opened (insecure) gRPC connection
DEBUG flower 2021-04-10 20:02:47,534 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 20:02:51,290 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 20:02:51,290 | numpy_client.py:172 | fit, FitIns(clock=0)
INFO flower 2021-04-10 20:02:51,290 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 20:02:51,291 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 20:02:51,408 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 20:02:51,409 | numpy_client.py:228 | read: ReadRes(clock=-1)
DEBUG flower 2021-04-10 20:02:51,425 | numpy_client.py:172 | fit, FitIns(clock=0)
DEBUG flower 2021-04-10 20:02:51,425 | numpy_client.py:260 | cached_clock: -1, curr_clock: 0
DEBUG flower 2021-04-10 20:02:52,011 | model_wrapper.py:21 | Load existing initial model
INFO flower 2021-04-10 20:02:52,015 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=0)
DEBUG flower 2021-04-10 20:02:52,015 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 20:02:52,030 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 20:02:52,030 | numpy_client.py:238 | update_staleness: Staleness bound set to 30
DEBUG flower 2021-04-10 20:02:52,030 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 20:02:52,040 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 20:02:52,040 | numpy_client.py:172 | fit, FitIns(clock=1)
DEBUG flower 2021-04-10 20:02:52,040 | numpy_client.py:260 | cached_clock: -1, curr_clock: 1
INFO flower 2021-04-10 20:02:52,541 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=1)
DEBUG flower 2021-04-10 20:02:52,542 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 20:02:52,554 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 20:02:52,554 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 20:02:52,562 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 20:02:52,563 | numpy_client.py:172 | fit, FitIns(clock=2)
DEBUG flower 2021-04-10 20:02:52,563 | numpy_client.py:260 | cached_clock: -1, curr_clock: 2
INFO flower 2021-04-10 20:02:53,110 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=2)
DEBUG flower 2021-04-10 20:02:53,110 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 20:02:53,122 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 20:02:53,122 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 20:02:53,131 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 20:02:53,131 | numpy_client.py:172 | fit, FitIns(clock=3)
DEBUG flower 2021-04-10 20:02:53,132 | numpy_client.py:260 | cached_clock: -1, curr_clock: 3
INFO flower 2021-04-10 20:02:53,609 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=3)
DEBUG flower 2021-04-10 20:02:53,609 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 20:02:53,623 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 20:02:53,623 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 20:02:53,631 | app.py:68 | Received server message. Handling...
