DEBUG flower 2021-04-10 20:02:39,750 | client.py:85 | Start SSP client without delay
DEBUG flower 2021-04-10 20:02:42,419 | connection.py:36 | ChannelConnectivity.IDLE
INFO flower 2021-04-10 20:02:42,421 | app.py:63 | Opened (insecure) gRPC connection
DEBUG flower 2021-04-10 20:02:42,421 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 20:02:42,422 | connection.py:36 | ChannelConnectivity.READY
DEBUG flower 2021-04-10 20:02:51,231 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 20:02:51,232 | numpy_client.py:172 | fit, FitIns(clock=0)
INFO flower 2021-04-10 20:02:51,232 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 20:02:51,232 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 20:02:51,390 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 20:02:51,390 | numpy_client.py:228 | read: ReadRes(clock=-1)
DEBUG flower 2021-04-10 20:02:51,407 | numpy_client.py:172 | fit, FitIns(clock=0)
DEBUG flower 2021-04-10 20:02:51,407 | numpy_client.py:260 | cached_clock: -1, curr_clock: 0
DEBUG flower 2021-04-10 20:02:54,436 | model_wrapper.py:21 | Load existing initial model
INFO flower 2021-04-10 20:02:54,439 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=0)
DEBUG flower 2021-04-10 20:02:54,440 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 20:02:54,453 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 20:02:54,453 | numpy_client.py:238 | update_staleness: Staleness bound set to 30
DEBUG flower 2021-04-10 20:02:54,453 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 20:02:54,462 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 20:02:54,462 | numpy_client.py:172 | fit, FitIns(clock=1)
DEBUG flower 2021-04-10 20:02:54,463 | numpy_client.py:260 | cached_clock: -1, curr_clock: 1
INFO flower 2021-04-10 20:02:57,820 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=1)
DEBUG flower 2021-04-10 20:02:57,820 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 20:02:57,839 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 20:02:57,839 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 20:02:57,856 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 20:02:57,856 | numpy_client.py:172 | fit, FitIns(clock=2)
DEBUG flower 2021-04-10 20:02:57,856 | numpy_client.py:260 | cached_clock: -1, curr_clock: 2
INFO flower 2021-04-10 20:03:00,918 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=2)
DEBUG flower 2021-04-10 20:03:00,919 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 20:03:00,932 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 20:03:00,932 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 20:03:00,941 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 20:03:00,941 | numpy_client.py:172 | fit, FitIns(clock=3)
DEBUG flower 2021-04-10 20:03:00,941 | numpy_client.py:260 | cached_clock: -1, curr_clock: 3
INFO flower 2021-04-10 20:03:04,121 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=3)
DEBUG flower 2021-04-10 20:03:04,122 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 20:03:04,133 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 20:03:04,134 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 20:03:04,143 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 20:03:04,143 | numpy_client.py:172 | fit, FitIns(clock=4)
DEBUG flower 2021-04-10 20:03:04,144 | numpy_client.py:260 | cached_clock: -1, curr_clock: 4
INFO flower 2021-04-10 20:03:07,219 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=4)
DEBUG flower 2021-04-10 20:03:07,219 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 20:03:07,232 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 20:03:07,232 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 20:03:07,242 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 20:03:07,242 | numpy_client.py:172 | fit, FitIns(clock=5)
DEBUG flower 2021-04-10 20:03:07,242 | numpy_client.py:260 | cached_clock: -1, curr_clock: 5
INFO flower 2021-04-10 20:03:10,246 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=5)
DEBUG flower 2021-04-10 20:03:10,247 | app.py:66 | Waiting for message from server...
